GeneSymbol	studyB_case01	studyB_case02	studyB_case03	studyB_case04	studyB_case05	studyB_case06	studyB_ctrl01	studyB_ctrl02	studyB_ctrl03	studyB_ctrl04	studyB_ctrl05	studyB_ctrl06	studyB_ctrl07
SYNTH0092	8.2900	7.7879	7.3129	7.5236	8.4838	7.7748	8.2992	7.4919	6.7549	8.3174	7.4429	7.8074	6.9069
SYNTH0093	5.9307	4.7004	5.9069	5.3576	6.3038	4.8580	3.5850	4.3923	5.9069	5.8329	5.0875	5.5236	5.4919
SYNTH0094	7.9307	9.3399	7.8704	8.2621	8.4798	7.8265	8.3966	8.3219	9.8471	8.1849	8.3923	8.8517	8.1599
SYNTH0095	9.9454	8.9629	9.1824	8.6221	9.3837	NA	9.1749	9.2761	7.1997	9.4305	8.0056	9.5018	8.2384
SYNTH0096	4.5236	4.0875	3.0000	3.7004	2.8074	2.5850	2.8074	5.0444	2.8074	3.0000	3.8074	4.2479	2.5850
SYNTH0097	7.8887	8.8297	7.0444	7.4757	6.4263	7.3837	8.5546	7.5236	8.5962	7.5469	6.4263	7.8202	7.9009
SYNTH0098	5.4263	4.0875	5.0875	5.2854	4.7004	4.6439	4.3923	5.3576	5.3219	5.0875	5.2095	5.4594	4.1699
SYNTH0099	7.9009	9.0688	9.0980	8.6073	8.1085	8.6689	8.6618	8.1997	8.8265	7.9307	8.9658	8.1599	8.9972
SYNTH0100	4.2479	5.4919	4.1699	4.5850	4.9069	6.3219	5.7814	4.7549	4.9542	4.6439	5.3576	4.7549	4.9069
SYNTH0101	5.0875	4.1699	4.0875	4.1699	2.8074	4.3923	4.2479	4.2479	3.8074	4.4594	4.3219	3.9069	4.0000
SYNTH0102	5.8329	5.3923	5.2854	6.4757	6.0224	5.8580	5.2479	6.8948	5.0444	4.5236	5.4594	6.2854	5.8826
SYNTH0103	10.1098	9.6257	9.9658	9.7731	9.2923	9.3707	8.5962	8.5118	8.5275	8.1085	6.8074	8.0715	7.6865
SYNTH0104	4.7004	4.3923	3.7004	3.7004	5.5850	4.8074	5.3923	5.6147	5.1699	5.1293	4.3923	5.7549	4.0000
SYNTH0105	7.1898	6.4594	6.8074	7.2946	7.9307	7.1699	6.8202	NA	6.5999	6.8948	7.6366	7.2854	6.0444
SYNTH0106	9.2644	NA	8.3794	9.0056	7.8138	7.3309	8.3576	NA	9.3332	8.5736	8.5850	8.8517	9.1447
SYNTH0107	7.8826	7.5546	6.0444	7.1396	6.9542	7.0553	5.4594	7.1085	5.6724	5.4594	5.9069	6.4757	5.2095
SYNTH0108	6.5392	7.3663	5.2095	6.9307	5.6147	6.1293	6.7279	5.0444	5.5850	6.3750	4.9542	5.5850	4.6439
SYNTH0109	4.5236	4.0875	4.3219	3.9069	5.6147	4.0000	NA	5.5236	4.7549	4.7549	4.2479	NA	5.2095
SYNTH0110	4.0875	1.0000	2.3219	1.0000	4.2479	2.5850	3.4594	2.3219	3.5850	3.3219	4.1699	2.5850	4.0875
SYNTH0111	7.1085	6.1085	7.7616	5.4594	7.8887	7.4512	7.0112	6.9069	7.7879	6.5236	7.7211	7.3923	7.0768
SYNTH0112	6.0000	6.4429	5.4263	6.3219	5.9542	3.8074	5.6439	4.7549	5.6724	5.5236	4.8074	5.1293	6.1293
SYNTH0113	6.2288	5.2095	6.1497	6.4594	5.9307	5.5546	6.2854	6.6294	3.5850	6.4094	6.2288	5.3576	5.8580
SYNTH0114	4.9069	5.6147	4.8074	5.5546	5.0000	4.8074	4.5850	6.0661	6.0224	5.2095	2.5850	4.9542	4.9542
SYNTH0115	5.2854	4.4594	5.4919	5.1699	4.5236	5.2479	4.9069	4.4594	4.2479	4.3219	5.0000	4.0000	5.2479
SYNTH0116	8.5887	9.1241	8.7879	9.1344	7.7482	8.4635	7.9658	8.4998	8.4094	8.6147	9.7482	8.3966	8.9278
SYNTH0117	6.2095	6.3038	7.2761	5.9542	6.7549	6.5850	6.9069	5.6439	5.5850	6.6582	5.9307	5.5850	7.0768
SYNTH0118	5.2095	5.5546	5.9069	5.4263	4.7549	NA	5.0000	NA	6.1898	5.1293	5.2095	4.9542	5.2095
SYNTH0119	6.1497	7.5314	6.9542	6.6439	5.6439	6.3219	6.4094	6.0661	6.0000	5.2095	6.0000	5.6724	6.6865
SYNTH0120	4.3219	5.9307	5.8074	4.7004	5.7549	6.2288	5.4919	6.0000	6.3399	4.8580	4.7004	4.3923	5.3219
SYNTH0121	7.7415	7.6294	7.4757	8.2240	7.7074	6.4757	8.4009	7.6439	8.4838	8.0715	7.0444	8.6511	7.6366
SYNTH0122	9.1447	8.5546	8.2288	7.7814	8.9801	8.5157	8.8796	9.0168	9.0741	7.6073	7.8074	8.5699	7.3309
SYNTH0123	5.8826	5.1293	6.1898	6.5078	6.3038	5.9542	NA	6.5078	5.7004	5.7549	5.8329	6.0000	6.5236
SYNTH0124	6.0000	6.1293	5.1699	6.2095	6.3219	6.1497	7.2384	7.0553	6.0000	5.5850	6.6147	6.1293	6.0661
SYNTH0125	7.1799	7.6073	7.9069	7.9248	7.9542	8.7846	8.1396	7.0112	8.4305	8.1497	6.4757	8.2715	8.1447
SYNTH0126	8.5392	8.6618	9.0028	8.4346	8.5736	8.3309	8.6147	7.9830	8.8265	7.7347	8.2946	9.3707	8.7313
SYNTH0127	6.7549	6.6582	7.1599	6.5078	7.8009	7.1189	7.0768	6.9773	7.0553	6.5999	5.5546	6.5546	6.5078
SYNTH0128	4.3219	4.9542	5.1699	5.5236	5.7004	4.5850	4.9069	5.0444	4.9069	4.6439	4.3923	5.0875	4.9542
SYNTH0129	3.9069	1.0000	3.8074	2.5850	2.5850	NA	5.6147	4.7549	5.9307	3.1699	4.9069	4.7549	4.3219
SYNTH0130	5.5546	5.2854	4.0875	5.0444	4.9542	6.1085	5.1293	5.7004	4.1699	5.0000	5.3576	5.6147	6.7279
SYNTH0131	8.2432	8.0661	7.5392	9.3287	9.1523	9.0307	9.1319	9.1674	8.2384	9.3399	9.5546	9.1997	8.8580
SYNTH0132	7.3663	9.1573	8.0498	8.3619	7.1599	8.2621	9.2288	9.2550	8.1599	8.7977	8.3750	8.7846	9.3772
SYNTH0133	8.0875	8.1447	8.2288	8.1396	7.9069	7.1898	7.0334	7.7004	7.1799	7.9069	7.3399	8.3966	8.4594
SYNTH0134	9.6900	9.4919	9.7682	9.3663	9.9009	8.7245	9.3576	9.2046	10.0580	8.5392	9.3663	8.3880	9.6129
SYNTH0135	3.9069	2.3219	3.5850	4.8580	3.5850	4.0875	5.4263	3.7004	5.2854	3.8074	3.7004	5.2854	4.1699
SYNTH0136	8.6900	9.5507	10.2288	8.3354	9.6055	10.0768	7.9715	7.8202	8.6689	8.3399	7.3129	7.8329	7.3837
SYNTH0137	3.9069	4.0875	3.1699	3.3219	2.5850	4.1699	4.2479	4.0000	3.5850	3.3219	3.9069	4.0875	4.7549
SYNTH0138	7.4094	7.2946	7.3487	7.2574	7.1497	7.4429	6.8329	7.3038	7.0112	7.2288	7.4429	6.3038	6.0224
SYNTH0139	4.3923	4.9542	5.5236	5.0444	4.2479	3.5850	2.5850	5.2095	3.9069	4.7004	5.7279	3.7004	5.1293
SYNTH0140	8.3264	8.3531	8.2288	8.1497	7.2384	6.9887	NA	7.7279	6.7944	8.8297	8.3619	7.5314	7.7482
SYNTH0141	4.3923	3.7004	4.5236	5.0000	3.5850	3.8074	4.6439	3.8074	4.3219	4.1699	3.8074	4.8580	5.1699
SYNTH0142	6.4919	5.8580	6.6724	6.2479	7.3750	6.2854	8.1137	8.4051	7.9658	6.5699	7.2384	7.8826	7.0980
SYNTH0143	7.9773	8.0607	9.1344	8.8329	7.5999	8.3576	8.3129	8.5236	7.5925	9.0498	8.6935	8.6402	8.9744
SYNTH0144	5.6147	6.1293	6.7004	5.5546	7.0661	6.5699	7.7549	7.7814	7.9658	5.9773	6.2288	7.9944	7.1699
SYNTH0145	2.8074	3.4594	3.1699	3.4594	2.3219	3.1699	4.5236	3.0000	3.3219	4.3923	2.0000	4.2479	2.3219
SYNTH0146	9.8424	10.5048	10.3432	9.5333	10.9440	9.9233	9.3106	9.7912	8.8517	8.7682	8.3576	9.0056	8.1649
SYNTH0147	4.2479	4.3923	5.4594	5.2095	3.4594	3.5850	4.5236	4.7549	5.5546	5.5850	5.3576	4.5850	NA
SYNTH0148	9.4656	7.6582	7.0000	8.3219	8.7108	8.5887	7.8074	8.6511	7.4009	8.8826	7.2288	8.6724	8.1241
SYNTH0149	5.6439	4.3219	5.9069	5.4919	5.5546	6.2288	5.9542	5.5850	6.1293	6.3923	5.1293	5.8074	6.2288
SYNTH0150	8.7482	8.6935	8.6402	8.1548	8.4717	7.7549	7.3129	8.1497	8.4553	8.5584	8.7482	8.2668	8.0553
SYNTH0151	4.4594	5.0875	3.8074	4.5236	3.3219	4.3923	3.3219	4.3923	4.8580	3.8074	4.8580	3.7004	4.2479
SYNTH0152	6.8202	7.1699	6.3750	5.6147	6.6147	6.7944	7.1997	6.5236	7.4676	6.5546	5.6439	6.6865	7.0444
SYNTH0153	5.0875	5.5236	4.2479	4.9069	5.8580	6.1293	5.3923	4.8580	5.4263	6.2668	4.5236	4.4594	3.9069
SYNTH0154	8.9218	7.9600	8.7814	8.6689	8.1898	8.4798	8.7582	8.0821	8.5275	9.6457	8.6402	8.5353	9.3509
SYNTH0155	7.1189	6.1898	7.1599	6.9887	7.2384	6.7549	6.9189	6.4594	6.1699	6.7549	6.9307	5.9773	6.9887
SYNTH0156	7.7211	7.6366	7.0112	8.3966	7.8765	7.6439	6.3576	6.8826	5.3923	5.8329	5.9307	6.9189	7.0334
SYNTH0157	3.1699	4.2479	4.7549	4.6439	4.0875	3.1699	3.9069	4.7549	4.0875	5.0444	3.5850	4.5236	4.3219
SYNTH0158	1.5850	2.8074	2.8074	3.1699	1.5850	3.0000	4.0000	3.4594	4.3923	4.4594	3.0000	4.2479	3.5850
SYNTH0159	8.6511	8.1293	6.9425	8.4838	7.2095	7.1497	8.2761	8.2946	7.8826	7.0224	7.5699	6.1497	5.8580
SYNTH0160	7.3129	7.2192	6.4919	7.0334	7.6724	6.5999	9.1344	9.5699	7.9944	8.1997	7.0875	8.9009	9.2336
SYNTH0161	5.3923	6.5392	5.8580	3.8074	5.1699	5.1699	5.0875	6.0661	5.9069	6.4429	5.7549	NA	5.6147
SYNTH0162	7.5236	7.7682	7.7879	6.7004	7.1293	6.9773	8.1548	7.4998	6.8455	7.1799	5.9307	8.3354	7.1699
SYNTH0163	7.8765	7.0112	5.3576	6.9658	6.1898	6.9189	7.6073	6.3399	8.1599	6.4757	7.7347	6.5236	6.8455
SYNTH0164	6.6865	5.2854	7.1293	5.9773	5.7004	5.6147	6.0661	6.8329	6.5078	6.2288	7.0444	5.6439	6.6865
SYNTH0165	8.6970	8.6257	7.7415	8.7912	8.6184	9.4073	8.9069	7.6221	9.2021	7.7549	8.1396	9.1007	8.4553
SYNTH0166	4.1699	4.9069	5.7549	4.5850	3.9069	5.1293	4.2479	4.9069	5.8074	4.1699	4.7004	4.4594	4.6439
SYNTH0167	7.9887	7.9129	8.9366	8.7582	7.6865	8.7108	9.4737	8.7814	8.9248	8.3443	8.8948	8.9337	8.3576
SYNTH0168	8.7142	8.2900	7.0980	7.1599	8.1137	7.6221	8.1137	7.5078	6.9773	7.7074	6.9189	8.2046	8.5038
SYNTH0169	6.7415	7.6221	7.7814	8.6582	6.8202	9.4696	9.1649	7.2479	8.6073	8.2192	7.6294	7.4998	7.2854
SYNTH0170	4.9069	5.7549	5.6724	7.0000	5.2854	6.3750	6.6147	6.2095	5.7814	6.9773	7.2946	6.9887	5.7004
SYNTH0171	4.3219	3.0000	4.7549	3.9069	4.2479	3.5850	4.0000	3.9069	3.3219	3.4594	4.6439	4.3923	5.0444
SYNTH0172	8.9129	8.4512	8.4798	7.5925	8.7781	8.4512	9.3129	8.2574	6.6724	9.0307	7.7279	8.1898	NA
SYNTH0173	4.8580	5.4594	5.4919	4.7004	6.3219	3.5850	5.7279	5.6147	3.5850	6.1699	4.7549	5.2854	4.8074
SYNTH0174	8.1948	8.6366	8.2288	7.1799	8.0279	8.1849	7.9009	7.6221	7.9542	8.3619	7.2854	7.5392	7.8948
SYNTH0175	5.0444	5.3219	4.7549	4.0875	5.2854	5.1699	5.7549	4.7004	NA	4.3923	4.9069	5.7549	3.8074
SYNTH0176	9.0307	8.2479	8.3219	8.7142	9.1447	8.5584	9.7074	8.6900	8.8009	9.6865	8.1293	9.9758	9.2360
SYNTH0177	7.1396	6.9542	7.3487	7.7482	6.5236	6.8948	7.6795	6.9658	8.3443	8.1849	8.1137	6.8704	6.5392
SYNTH0178	8.8517	9.1649	9.0526	9.0553	7.4676	9.5831	9.6073	8.3309	8.6970	9.0000	8.7814	9.3685	9.2216
SYNTH0179	4.5236	5.5236	4.2479	3.7004	4.6439	5.0000	4.9069	4.7004	4.8580	5.0444	5.4594	5.2095	4.9542
SYNTH0180	5.9307	6.9189	6.1898	6.6439	6.9542	7.3038	6.5546	6.6147	7.3129	6.7814	7.0661	7.4757	6.3399
SYNTH0181	8.9278	8.5469	8.8918	8.4136	8.2761	8.0607	8.4717	8.8041	8.7616	8.6257	8.9484	8.6653	8.8170
SYNTH0182	3.0000	3.1699	1.5850	4.4594	3.0000	4.2479	4.0875	3.0000	3.0000	4.6439	3.0000	3.9069	3.5850
SYNTH0183	5.8580	7.4179	6.9189	5.2479	6.8826	6.4263	7.1997	6.7415	7.4429	6.7279	6.7004	7.2854	8.3487
SYNTH0184	9.0848	8.6073	9.1997	8.8202	8.0875	8.6221	8.5887	9.5137	8.1799	9.4838	9.5680	8.0279	9.2527
SYNTH0185	8.1344	8.4998	8.1997	7.2761	8.4512	8.5157	6.9307	5.4594	7.5699	6.0661	7.1189	6.8580	6.7814
SYNTH0186	7.7879	6.3923	7.1699	6.9425	7.2854	7.9658	NA	6.7944	7.4094	7.7074	6.2479	6.4594	7.0875
SYNTH0187	4.7004	4.2479	4.0000	3.3219	4.5850	4.4594	3.5850	4.6439	4.7549	4.5850	NA	3.0000	3.3219
SYNTH0188	8.9944	8.2192	8.1033	8.5314	8.2240	8.3619	8.9887	8.1548	8.8329	8.6546	7.7074	7.9830	7.9484
SYNTH0189	9.1548	9.3219	10.1485	8.7448	9.0901	10.3750	9.1189	8.6221	9.7039	10.3309	10.4491	8.7039	8.8009
SYNTH0190	4.7549	5.8580	5.8580	6.3399	6.2668	5.8074	5.8329	5.0875	NA	5.2854	4.5850	5.4594	5.8329
SYNTH0191	7.9307	7.1997	7.3837	7.9069	6.9307	7.7279	7.9887	7.7748	7.0875	7.6582	7.0444	6.4263	7.1799
SYNTH0192	4.5850	3.9069	4.3923	4.3923	4.0000	2.8074	4.6439	3.7004	4.3923	2.5850	3.1699	4.6439	5.0000
SYNTH0193	4.3923	4.7004	3.9069	4.1699	3.3219	3.8074	4.2479	4.4594	5.5850	4.0875	5.3576	3.3219	3.9069
SYNTH0194	7.8704	7.1085	7.7549	6.1699	7.6724	8.6582	7.0444	6.7814	7.7279	7.2095	9.1370	6.3750	7.2479
SYNTH0195	2.5850	3.0000	3.3219	3.0000	3.3219	3.0000	3.5850	4.3219	4.0000	4.2479	2.8074	3.4594	2.8074
SYNTH0196	3.9069	4.6439	4.2479	4.0875	4.0000	4.0000	2.8074	3.8074	2.5850	3.3219	4.5236	4.0875	0.0000
SYNTH0197	6.5999	6.7004	7.5925	7.3923	6.3219	8.0000	8.1497	7.0661	7.9830	6.9542	8.0000	7.6582	8.1749
SYNTH0198	2.5850	4.1699	3.8074	2.3219	3.1699	4.2479	4.4594	3.8074	2.5850	NA	3.8074	3.5850	4.6439
SYNTH0199	4.8580	3.9069	4.7004	5.6724	4.8074	4.7004	5.4594	4.0875	4.5850	5.4594	4.6439	6.3219	5.0875
SYNTH0200	8.3309	8.7748	7.2668	6.8329	8.1948	7.1085	8.5196	8.2143	6.9542	NA	8.4136	7.6073	8.0444
SYNTH0201	6.9887	7.5546	7.6795	7.7682	5.8329	7.4676	8.4136	8.3619	9.3015	8.1344	8.2432	7.7944	8.9915
SYNTH0202	9.4778	9.4858	9.1163	9.8611	9.3061	10.1787	9.9381	9.1189	9.6511	9.9816	8.8486	7.7004	8.6511
SYNTH0203	5.7279	6.7549	5.6439	6.7004	6.4757	4.7004	5.0000	6.3038	6.6147	5.1293	5.5546	5.3923	4.7549
SYNTH0204	7.9425	7.1396	5.7549	7.2479	7.5699	7.0224	6.8948	7.1085	6.2668	5.4919	7.8517	7.3309	7.4179
SYNTH0205	5.4919	5.4919	4.3219	6.0661	4.0875	5.6724	5.6439	5.9542	5.6439	4.7549	5.3576	4.6439	5.0000
SYNTH0206	5.4919	5.3576	6.1497	4.7549	6.5078	NA	5.9542	5.7004	6.0875	5.4919	6.6582	4.3923	5.7004
SYNTH0207	6.7682	6.6865	7.4009	5.9773	5.6439	6.4094	6.0224	7.2384	6.0000	6.3038	6.5546	5.5236	7.1599
SYNTH0208	6.0444	6.0000	7.7879	6.7944	6.6582	7.6582	4.9542	4.8580	5.5546	4.7549	5.5850	6.0224	5.6724
SYNTH0209	4.3923	4.3923	4.4594	5.9542	4.5850	4.4594	3.5850	4.8580	4.0000	5.0875	4.5236	5.5236	3.7004
SYNTH0210	9.3332	8.3966	9.6165	9.2046	8.7245	9.5411	9.2264	8.8202	8.6970	9.8439	9.9099	9.7313	9.2021
SYNTH0211	6.8580	7.9189	6.3399	8.3399	6.8948	6.9542	7.6221	7.8009	7.1799	6.8455	7.5546	5.6147	7.2574
SYNTH0212	4.1699	2.0000	3.5850	3.5850	3.4594	4.5236	4.6439	4.0000	4.2479	4.0875	4.0875	2.5850	2.3219
SYNTH0213	4.8580	3.9069	5.4919	3.5850	5.7814	3.0000	2.3219	3.4594	3.9069	5.0000	3.7004	5.3576	3.7004
SYNTH0214	6.2479	6.6582	6.7549	6.6439	7.2095	6.4263	6.0661	6.5546	6.9189	7.4009	6.0000	6.8202	4.8074
SYNTH0215	7.5622	8.1997	8.5507	8.4009	8.3083	8.5078	7.5078	7.5774	7.9830	7.3923	7.8517	8.1649	7.2095
SYNTH0216	7.8138	7.3399	8.2946	7.8455	6.8704	7.6865	7.1898	7.2479	7.1497	6.2854	8.0444	7.6653	7.5078
SYNTH0217	9.2831	9.9396	9.6970	9.9278	10.5943	9.9009	9.9542	10.0112	9.9643	9.6600	9.0444	9.0715	NA
SYNTH0218	4.3923	5.0875	4.8074	4.2479	5.5236	4.5850	6.2668	4.8074	5.0444	4.3923	3.3219	5.2854	4.0875
SYNTH0219	7.7415	7.3663	7.1396	6.7944	7.9830	6.0444	6.6294	6.6724	7.6511	6.0224	7.1699	7.3399	5.0875
SYNTH0220	7.4429	6.6865	7.0875	6.6582	6.0000	6.7142	6.7004	7.2192	6.1293	6.2288	7.3837	6.6439	6.6582
SYNTH0221	4.8580	4.5236	4.5236	3.1699	2.0000	3.1699	3.8074	3.8074	4.5850	3.1699	3.7004	5.0444	3.1699
SYNTH0222	8.2432	7.6439	8.2621	7.6366	8.7211	8.8455	6.5850	8.3309	9.1699	8.8765	7.4757	8.2574	7.7944
SYNTH0223	5.8329	4.9542	5.0444	4.5850	NA	5.1699	5.5850	4.7549	3.9069	4.8580	4.2479	5.2479	4.5850
SYNTH0224	5.0875	4.4594	4.0875	4.5236	3.5850	3.4594	4.8580	4.8074	5.1699	4.4594	4.9542	4.0875	5.0000
SYNTH0225	5.1293	4.3923	5.6147	3.3219	5.0444	5.0875	5.8329	4.8074	5.5850	5.5546	4.9069	4.7004	5.5850
SYNTH0226	8.2095	9.2288	8.8734	5.6439	7.8765	9.3443	8.9687	9.4136	10.1687	8.7515	9.2946	10.0967	10.3597
SYNTH0227	4.8580	4.5236	4.3923	4.0000	3.4594	4.5236	4.9069	4.3219	5.1293	4.6439	3.7004	4.5850	5.0000
SYNTH0228	5.2095	5.1293	5.0444	5.1293	5.8580	4.7004	NA	4.5236	5.1699	5.0444	4.4594	5.7279	4.8580
SYNTH0229	6.7142	5.6724	6.3219	6.1497	5.6724	6.0661	6.1699	6.2288	4.9542	6.6724	6.7279	6.6147	5.4594
SYNTH0230	6.4094	6.7682	5.5236	5.9542	6.1898	5.4919	5.9307	6.5699	6.7682	6.4919	6.0000	7.0661	6.7142
SYNTH0231	6.8074	7.6935	6.7279	8.2854	8.1344	7.5850	7.1898	6.9069	7.9009	6.6147	7.7211	7.6865	8.5507
SYNTH0232	7.9600	7.4998	8.3083	7.9009	7.4676	8.3264	7.6865	7.7347	7.2192	7.8009	7.5314	7.4838	8.2992
SYNTH0233	5.4263	5.6439	4.8074	5.3576	4.7549	6.4429	4.8074	6.4594	5.9773	5.8826	5.6439	4.3923	5.3219
SYNTH0234	5.4594	4.4594	5.5850	5.2854	5.7814	4.2479	6.0875	4.0875	5.7004	4.5236	5.1293	3.5850	4.9542
SYNTH0235	7.0112	6.0875	5.6439	7.0112	6.7944	7.1799	6.1293	7.1599	6.8704	7.7279	7.4919	7.1497	6.7944
SYNTH0236	6.2668	6.7415	6.6147	7.1396	7.2854	6.6294	7.8642	7.3837	6.5078	7.0875	6.5546	5.4263	6.8826
SYNTH0237	0.0000	4.5850	3.3219	2.3219	4.5236	3.4594	3.8074	3.7004	3.7004	3.5850	3.7004	3.1699	3.5850
SYNTH0238	5.2479	5.4919	4.9542	4.9069	4.0875	5.5236	4.0000	4.4594	4.2479	3.7004	4.7549	4.8074	4.5236
SYNTH0239	4.0875	3.3219	3.9069	3.4594	3.8074	3.3219	3.9069	4.5850	4.2479	3.1699	3.1699	3.0000	2.5850
SYNTH0240	5.3923	5.6147	5.9773	5.9773	5.6147	4.8074	5.9069	6.4263	6.4263	5.0875	6.7279	5.7279	6.9425
SYNTH0241	6.7279	7.7004	7.2479	7.5774	7.7549	7.9366	7.9009	8.2574	6.1699	8.9366	7.0112	6.8455	7.6795
SYNTH0242	7.4094	6.8580	7.1997	6.2668	7.2095	5.9542	5.9773	6.6294	6.1898	7.1293	7.0553	6.9887	6.2095
SYNTH0243	3.4594	3.8074	3.8074	4.0000	4.2479	4.5850	4.2479	3.9069	2.8074	5.5850	4.6439	3.7004	5.0000
SYNTH0244	7.7682	7.6511	7.9189	8.3083	7.6795	6.8948	6.8202	8.2046	6.2288	6.6294	7.2288	6.5392	6.6582
SYNTH0245	8.3966	6.9542	8.2288	8.1749	7.2288	6.5699	7.6294	6.0224	8.4635	7.4998	7.5546	7.1599	6.3923
SYNTH0246	4.3219	3.9069	5.0875	5.0000	5.2479	4.0875	4.5850	4.8074	5.6724	3.1699	3.9069	5.0000	2.8074
SYNTH0247	5.0000	6.2095	6.1293	4.8074	4.2479	4.5236	5.2095	5.4919	4.7549	5.4263	5.2479	5.8074	4.3923
SYNTH0248	8.5392	9.1137	9.4553	8.1849	7.9944	8.4878	9.9454	9.5137	8.8978	8.9658	8.8486	8.9887	8.8138
SYNTH0249	5.1293	3.4594	3.5850	5.2479	4.0875	5.4263	4.8074	5.1699	4.9069	4.0000	5.2095	5.3923	4.3923
SYNTH0250	7.1599	8.1293	8.3083	7.5622	6.7682	8.1447	7.4919	6.0444	6.9307	7.7944	8.1033	7.8517	8.2240
SYNTH0251	5.5546	6.5078	4.7549	6.0444	6.0444	5.2854	5.0875	5.0875	5.1293	5.4594	4.3923	6.1085	5.9069
SYNTH0252	7.6724	7.9069	7.2946	7.8517	6.7004	6.0661	7.2095	6.8074	7.9715	7.7879	7.8009	6.7004	8.1137
SYNTH0253	6.7004	7.2288	6.9189	6.7814	6.8455	7.0224	6.1898	5.8826	7.0444	5.9069	6.9189	6.3923	6.4094
SYNTH0254	5.4263	NA	5.3219	5.8074	5.9773	6.0224	5.6147	4.8074	5.1699	6.3576	5.5546	5.8580	5.7279
SYNTH0255	8.3083	7.4346	7.4919	7.9189	7.4429	8.5236	7.8948	7.5774	8.1548	7.0980	8.9396	7.5850	8.1085
SYNTH0256	5.4594	6.1699	5.2479	4.9069	5.0000	5.6147	4.7004	5.2854	5.6439	6.3750	4.8580	5.9307	5.4919
SYNTH0257	8.0661	8.7944	8.4179	9.0251	8.6184	8.9944	8.4305	8.8580	8.2668	7.8887	8.8329	8.6439	8.8734
SYNTH0258	7.5546	7.6439	6.3923	7.8138	6.2668	8.1293	7.9307	9.0417	6.9307	8.0000	8.1447	8.6935	8.2288
SYNTH0259	7.9600	9.2808	8.6760	8.7649	7.2946	9.5603	7.7944	9.2992	7.4346	8.7748	8.1749	8.7715	8.6257
SYNTH0260	5.0875	4.5850	5.1699	4.0875	4.1699	4.5236	4.4594	4.1699	4.3923	3.4594	4.3219	4.5236	3.4594
SYNTH0261	5.2854	5.2854	4.1699	4.6439	4.3219	4.6439	5.1293	5.4919	5.4594	5.2479	5.5236	5.1699	3.7004
SYNTH0262	4.7004	4.7004	5.4263	5.2479	5.1293	3.5850	5.6724	6.1497	5.2854	6.4263	4.1699	4.8074	4.5236
SYNTH0263	3.4594	3.5850	1.0000	3.4594	3.8074	4.5236	3.4594	3.9069	2.8074	3.9069	4.0000	2.3219	4.9069
SYNTH0264	9.7549	9.2119	8.1241	8.4471	8.6830	9.2336	9.2095	9.6618	9.6600	8.7039	8.5999	9.8281	8.4798
SYNTH0265	6.0875	6.1898	3.9069	5.2479	6.6582	5.5236	5.6147	5.7279	6.1293	5.7004	NA	6.1497	NA
SYNTH0266	3.0000	3.8074	3.1699	1.0000	2.8074	0.0000	3.9069	3.4594	4.3923	3.4594	3.1699	4.0000	4.3923
SYNTH0267	7.0444	7.7482	6.4594	6.6439	6.1293	6.7415	5.5236	4.6439	3.3219	5.8329	5.9069	5.5236	4.0875
SYNTH0268	5.7004	4.7004	5.7279	5.3576	4.0875	6.0875	5.1699	5.9307	5.0875	4.3923	5.9773	5.8074	6.0875
SYNTH0269	6.0000	6.4094	6.0875	6.1699	6.0224	6.0000	7.9307	7.9009	7.8948	7.6073	7.7814	7.8642	8.5038
SYNTH0270	7.0553	5.7004	7.0768	6.1293	5.4263	6.5699	5.7814	6.9307	5.9773	5.2854	6.7415	5.2854	5.4919
SYNTH0271	5.4919	5.7279	6.5078	5.3576	6.7415	5.4594	5.7549	5.2479	5.9307	5.8074	5.7279	5.7814	5.3219
SYNTH0272	5.4594	5.1293	5.4919	5.8329	3.3219	5.3576	5.4594	6.0224	5.3219	5.2854	5.3219	5.2479	5.3219
SYNTH0273	5.0444	4.3219	4.0000	4.0875	4.0000	4.0875	3.4594	4.3219	4.7004	4.4594	4.0000	4.6439	4.3219
SYNTH0274	4.7004	3.7004	3.1699	4.5850	4.3219	4.3923	4.6439	3.0000	3.5850	4.5236	3.9069	4.4594	3.3219
SYNTH0275	8.8673	8.4919	7.3837	8.1948	8.3880	9.3685	7.7004	7.9944	8.6900	9.4778	7.6366	8.7108	8.6073
SYNTH0276	7.4346	6.8948	6.8329	6.7682	7.0112	7.5925	7.5236	7.3837	7.2946	7.6147	7.1189	6.6865	7.8826
SYNTH0277	4.5850	4.9542	4.4594	5.0444	5.9773	5.6147	4.0000	4.3219	5.2095	5.0000	5.1293	5.5546	5.4594
SYNTH0278	8.0389	9.8439	8.0444	9.5661	9.4388	8.9571	8.7781	9.7715	8.5118	9.0168	9.8154	NA	9.1033
SYNTH0279	4.8074	4.3219	6.1085	5.5546	4.8074	5.4919	5.9773	5.3576	5.6147	5.4594	5.0444	4.0000	5.6724
SYNTH0280	10.0251	8.9366	7.3219	9.0928	8.0768	8.3837	9.3966	8.0112	9.2808	8.5314	8.2432	8.1548	7.7879
SYNTH0281	5.8580	5.0000	4.0875	5.7279	5.0444	3.8074	4.2479	4.0000	4.5236	3.4594	4.0875	4.6439	3.9069
