GeneSymbol	studyA_case01	studyA_case02	studyA_case03	studyA_case04	studyA_case05	studyA_case06	studyA_case07	studyA_case08	studyA_ctrl01	studyA_ctrl02	studyA_ctrl03	studyA_ctrl04	studyA_ctrl05	studyA_ctrl06	studyA_ctrl07	studyA_ctrl08
SYNTH0059	8.0168	7.2479	7.9009	8.5392	7.1898	7.2946	6.5078	8.2432	7.8138	7.8642	8.4798	7.1699	7.4009	8.5275	8.0279	7.2946
SYNTH0060	7.9425	7.6795	7.2384	7.1599	7.9542	5.2095	6.9307	6.6439	6.1699	6.1898	7.6582	6.2854	6.5078	6.7944	6.9425	6.4919
SYNTH0061	9.6165	8.2046	8.4471	7.4757	7.9658	9.1849	9.3685	7.8580	7.2288	9.3531	8.6935	8.0607	8.4346	8.4179	7.3837	8.0553
SYNTH0062	4.1699	4.9069	5.4919	4.6439	4.1699	4.9542	5.3923	5.3576	3.4594	6.0224	4.2479	4.8074	5.4919	4.0875	5.1293	5.0875
SYNTH0063	3.0000	3.1699	4.1699	3.3219	2.5850	3.9069	4.2479	3.0000	3.3219	3.0000	3.8074	3.0000	2.5850	3.5850	3.3219	4.8580
SYNTH0064	6.1085	5.5546	6.3750	6.1699	5.9069	6.3038	6.0224	5.3219	5.9307	4.7004	4.5236	5.9069	6.3923	6.0661	6.1293	6.4757
SYNTH0065	NA	5.8074	5.3219	5.7549	5.4919	6.0444	NA	4.8580	4.9069	5.1699	4.0875	6.1699	5.3576	4.7004	4.6439	5.2854
SYNTH0066	5.0000	3.9069	5.2479	4.5850	5.3219	4.8074	5.0444	5.0444	4.4594	4.3219	4.5236	4.0875	4.0875	4.7549	4.4594	4.3923
SYNTH0067	4.1699	4.0000	4.9542	3.9069	4.2479	4.3219	5.3923	3.4594	3.9069	3.1699	3.1699	3.7004	3.1699	2.5850	1.0000	3.9069
SYNTH0068	5.2479	6.8329	6.2479	7.3837	6.7944	7.1898	7.1497	5.8826	6.2095	7.3663	6.7415	7.3129	6.9658	7.3487	7.5078	7.3487
SYNTH0069	5.9069	6.9307	6.1898	5.4594	5.2479	6.3399	6.2288	5.5236	5.6439	6.2668	4.3219	5.0000	6.8580	6.6582	5.9773	5.3219
SYNTH0070	7.2479	7.5546	8.2715	8.2384	8.4221	7.7415	7.7682	7.4009	8.9189	7.6294	8.6221	6.9542	8.3663	7.5469	7.0334	7.6439
SYNTH0071	3.1699	2.8074	0.0000	NA	4.0875	4.3923	4.3219	3.7004	2.3219	4.5850	4.3923	4.0875	4.0875	2.5850	2.8074	3.8074
SYNTH0072	7.0768	7.9248	6.8580	8.0112	8.5736	7.9307	7.1085	7.2574	8.0168	7.9887	7.0444	7.9069	6.4757	8.6724	8.4136	8.5157
SYNTH0073	6.0224	6.0224	5.9307	5.1699	5.7279	5.2095	6.1085	6.3219	4.3219	5.8580	6.7279	5.1293	4.7004	6.0661	5.2854	5.8826
SYNTH0074	7.7944	5.9307	7.1898	5.4919	6.0444	6.1497	7.0980	6.1085	7.1997	6.5236	7.3837	7.1898	7.8074	5.1699	4.7549	6.8826
SYNTH0075	6.3576	7.6221	6.6865	6.2288	6.3038	6.0661	6.5078	6.0224	6.8580	6.6294	6.8455	6.5078	6.3750	7.0112	6.4757	7.1085
SYNTH0076	6.6147	5.5546	7.0112	7.2095	5.4594	5.7004	5.6724	6.0444	6.2288	6.2854	6.9189	6.4094	7.3576	5.4919	6.5236	5.7549
SYNTH0077	8.0980	7.4512	8.4838	7.9366	6.8826	7.1997	7.9307	7.4179	7.9366	7.6653	7.1085	8.9944	7.7748	7.0334	8.6110	7.0444
SYNTH0078	4.7549	4.3219	4.3923	4.5236	4.9069	4.7549	5.1293	2.8074	3.8074	4.8580	3.9069	4.2479	3.3219	4.4594	4.0875	3.7004
SYNTH0079	5.8580	6.1497	7.3129	6.2479	6.0661	7.1189	7.4998	6.9069	5.3219	6.7279	7.5157	7.0000	7.4512	6.2095	5.9542	7.5774
SYNTH0080	8.9129	9.1972	8.0553	8.2621	9.2923	9.6439	8.5962	7.6935	NA	7.7347	7.7482	7.7549	9.1824	7.2192	8.0224	8.6582
SYNTH0081	9.1997	8.2761	9.1007	8.6221	7.9830	8.2761	8.8765	8.1241	9.5680	7.7682	9.4491	7.6582	8.9454	8.8796	7.7944	6.4263
SYNTH0082	2.5850	2.8074	3.1699	3.1699	2.5850	2.3219	3.5850	3.0000	3.1699	3.0000	2.3219	2.3219	3.1699	3.8074	3.0000	3.8074
SYNTH0083	7.2288	4.8074	4.7004	6.7415	6.7279	5.3576	5.4263	5.0875	7.4263	7.4998	6.4919	6.2668	7.5925	7.5699	7.0444	8.0168
SYNTH0084	7.3399	7.3487	7.5236	7.3129	8.2095	7.7142	7.7682	6.7415	8.2384	7.0444	7.6221	7.9425	8.8857	5.7549	7.8517	7.0224
SYNTH0085	8.0498	8.0661	8.6147	7.5078	8.2143	8.3174	8.6475	6.9069	6.9773	9.1033	7.5850	8.0056	7.5999	8.1948	8.1447	7.3750
SYNTH0086	5.5236	5.0444	6.4429	5.9069	6.1497	5.9773	5.8826	5.6147	5.9307	5.3219	4.0875	4.5850	5.6724	4.8074	5.6724	5.0000
SYNTH0087	5.0444	4.7549	3.0000	4.7004	3.7004	5.2479	4.7549	4.3923	4.1699	3.9069	3.0000	4.3219	4.5850	3.3219	NA	5.6724
SYNTH0088	8.7515	8.8918	9.0607	7.6366	7.2095	8.6618	9.5565	7.8455	6.3923	7.9307	7.7616	8.0980	7.6865	7.0112	6.1699	7.6439
SYNTH0089	5.7004	6.6865	6.1699	6.5699	4.8074	5.7814	7.4009	6.0224	6.6147	6.7944	6.4429	5.4594	7.1799	6.6294	7.2761	6.1497
SYNTH0090	2.3219	5.3576	4.7549	4.0000	5.2095	4.9542	5.3219	5.1699	4.3923	5.2095	6.4263	3.5850	4.3219	4.7549	5.0875	4.9069
SYNTH0091	6.5999	5.9069	6.1497	6.7944	5.6147	7.3129	5.9542	7.4676	7.6221	7.3129	6.2854	5.8826	6.1497	6.7549	5.8329	7.0980
SYNTH0092	6.9887	6.0444	6.0444	6.5236	7.9773	5.8329	7.4346	7.8074	7.0000	7.3038	6.0875	7.5314	7.2574	7.4512	6.6865	5.6439
SYNTH0093	5.3219	4.5236	5.3576	4.8074	4.9069	3.9069	4.0875	4.5850	5.1699	4.3219	5.6147	5.8580	3.8074	5.0875	5.5850	4.9069
SYNTH0094	NA	8.0389	7.9715	7.0334	8.5078	7.8009	8.6475	7.6511	6.8074	8.1599	8.5925	7.5925	NA	6.9189	8.4051	7.7415
SYNTH0095	7.8826	9.2021	8.6830	8.1849	8.9513	8.6073	9.4409	7.4263	8.4878	8.3707	8.7515	8.9513	8.1948	9.1447	8.3129	7.3837
SYNTH0096	3.0000	3.4594	2.0000	3.0000	2.8074	3.8074	3.7004	3.0000	3.9069	0.0000	2.5850	3.9069	2.0000	1.5850	3.4594	4.5850
SYNTH0097	7.4757	7.3399	NA	6.3576	7.6511	6.9542	7.0768	7.4009	7.0768	7.2192	6.5699	6.5392	6.8826	6.9069	5.7549	7.0000
SYNTH0098	2.8074	3.7004	4.6439	4.2479	3.4594	4.5850	4.1699	4.0000	3.4594	4.2479	4.9069	4.0000	3.1699	4.0000	4.8074	4.4594
SYNTH0099	7.7279	7.2761	8.2715	7.3837	8.5118	8.0821	7.1997	7.4998	7.6935	8.0498	7.6724	8.1948	6.9307	7.8202	7.8580	7.5925
SYNTH0100	4.1699	4.3923	4.4594	2.8074	4.2479	4.9542	4.3923	4.3219	4.7549	4.8074	4.8074	3.3219	4.9542	4.5850	4.9069	4.4594
SYNTH0101	3.3219	3.5850	2.0000	3.8074	3.8074	2.8074	3.5850	3.8074	3.9069	3.9069	4.3923	4.3219	3.3219	0.0000	3.5850	4.3219
SYNTH0102	5.0000	6.3923	5.6439	5.4263	5.1699	5.9069	4.9069	6.1497	5.2854	5.0875	5.9773	5.3923	5.8826	6.2854	4.8580	5.5236
SYNTH0103	7.5469	8.2668	8.5622	8.9944	7.9542	9.1059	8.3443	8.7448	8.0980	8.7415	6.9189	6.7279	7.2668	7.6294	7.8948	6.8826
SYNTH0104	4.3923	5.0000	4.2479	5.4263	4.0875	3.7004	4.9069	4.3219	5.2095	4.8580	5.3576	6.0444	5.2854	3.7004	5.2479	4.5236
SYNTH0105	6.0875	7.1396	7.5546	6.7549	6.7279	7.9069	6.7682	7.2384	6.7682	6.8455	6.7814	7.2479	6.3576	6.5078	7.6795	7.0000
SYNTH0106	8.7912	6.9425	7.7482	7.8392	8.0168	7.4263	8.2808	7.6724	7.1997	8.4263	6.7814	8.2715	7.7814	7.2761	8.7245	8.1085
SYNTH0107	7.1599	6.3219	6.2288	6.3576	6.2288	6.7682	7.3487	6.7279	5.0875	5.6439	4.7549	5.5236	5.8580	4.7004	3.7004	5.6439
SYNTH0108	5.0875	4.4594	6.0224	5.7814	5.0444	4.5850	4.3923	5.1293	4.5850	6.0875	5.6147	5.1293	5.5546	5.7004	6.4919	4.0000
SYNTH0109	3.3219	3.8074	4.3219	3.0000	4.1699	4.1699	4.0875	4.7549	5.0444	5.4263	5.7549	4.2479	4.7004	4.2479	4.5850	5.2095
SYNTH0110	3.7004	3.4594	3.1699	0.0000	1.0000	3.4594	2.3219	3.4594	4.2479	3.1699	2.8074	4.1699	3.1699	1.0000	2.0000	3.3219
SYNTH0111	7.0444	7.3219	7.3663	7.3038	8.0715	5.4263	7.0224	6.4094	6.6865	8.0768	6.7682	7.0444	6.9542	6.6294	7.2854	5.9069
SYNTH0112	5.5236	3.4594	5.6147	4.7549	5.0444	4.2479	4.6439	3.0000	4.5850	5.2479	4.5850	6.0875	5.7549	5.5236	5.0000	5.7279
SYNTH0113	5.5850	4.3219	5.6439	4.9069	4.9542	5.4919	4.3923	5.9773	5.5236	5.6724	5.7004	5.5850	5.8826	5.4594	6.0224	4.4594
SYNTH0114	4.3219	4.3923	4.0000	5.9307	1.5850	4.5236	4.0875	4.1699	4.8580	4.8580	4.5236	4.5850	4.9069	5.5236	4.5236	5.5236
SYNTH0115	4.0875	3.3219	5.0444	4.4594	3.8074	4.8074	4.7549	2.3219	3.0000	4.0875	3.8074	5.1293	3.4594	4.0875	4.8074	2.8074
SYNTH0116	8.0768	6.5999	8.0498	7.8202	8.2574	8.4553	8.3443	7.9715	8.1447	8.7279	8.1497	7.7814	8.5275	7.6582	7.3750	7.3750
SYNTH0117	5.0875	4.8074	6.0661	3.7004	4.7004	6.0224	6.0224	5.7549	6.3576	4.5236	4.7004	5.1699	6.0000	5.9069	6.6865	5.4594
SYNTH0118	4.0875	4.9069	4.7549	3.9069	4.7004	3.5850	4.8074	5.4594	5.8580	5.2479	3.8074	5.3576	3.8074	4.3219	5.4594	4.9542
SYNTH0119	4.1699	6.0000	6.1293	6.1497	6.4263	4.7549	5.6147	6.0224	5.0875	5.8826	6.3219	3.4594	5.4594	4.5850	5.2095	5.9307
SYNTH0120	5.4263	5.3219	5.6724	4.8580	4.6439	4.9542	5.0000	4.8580	4.3219	NA	5.0000	4.3923	4.7004	4.5236	4.7004	NA
SYNTH0121	6.1497	6.5546	7.1189	7.4263	7.0980	7.8948	7.6795	6.8580	7.8887	7.1497	6.5392	6.2479	7.6366	7.9658	7.5699	7.5999
SYNTH0122	8.7177	8.0607	6.1898	NA	7.5314	6.8202	7.3576	6.4094	8.8265	7.8826	6.8329	7.5999	8.3707	8.8549	7.0000	7.3038
SYNTH0123	5.3576	5.3576	4.8580	5.6724	6.0875	6.1293	4.8074	5.6147	6.1699	5.0444	5.7549	5.4263	5.3576	5.9307	5.9069	5.2854
SYNTH0124	4.8074	6.3923	5.4263	5.1293	5.0875	5.4919	4.9542	NA	5.6724	5.0444	5.3923	5.4919	5.4263	5.7004	4.2479	5.5850
SYNTH0125	7.2668	7.4429	6.3219	7.8517	7.6147	7.3663	7.4094	7.7482	6.3576	7.8517	7.0444	6.8948	6.9425	8.1447	7.6511	7.6935
SYNTH0126	6.9542	7.2946	8.4051	8.3576	6.2854	7.4594	8.0928	8.0980	7.5850	7.7279	6.8580	8.8948	8.5353	8.9039	7.6582	7.7748
SYNTH0127	NA	5.7814	6.2668	7.1189	6.0444	5.8329	6.5699	5.7814	6.3750	4.5850	5.3219	6.6865	6.3750	5.4263	5.9773	5.8074
SYNTH0128	4.3923	4.6439	3.1699	4.5236	4.7004	5.1293	3.9069	4.1699	4.5236	4.5236	4.0000	4.5236	4.4594	4.0000	4.7004	4.1699
SYNTH0129	3.5850	2.5850	0.0000	2.3219	3.5850	4.1699	1.0000	3.0000	4.1699	4.7004	3.8074	3.3219	3.8074	4.8580	3.3219	4.3923
SYNTH0130	5.2854	5.6439	3.5850	4.7549	4.0875	4.8074	4.5236	5.3923	5.2095	5.3923	4.8074	5.6147	4.5236	4.3923	5.5236	4.7004
SYNTH0131	7.7616	8.4919	8.1497	8.2336	7.5999	9.4051	8.4136	8.3707	7.9129	6.8826	8.0224	8.5078	7.7074	8.0168	6.7142	7.1898
SYNTH0132	8.8580	8.6689	6.5699	6.9542	7.4179	7.8704	7.5392	7.6073	7.9887	8.2668	7.9366	7.6147	NA	8.1948	6.7549	8.2808
SYNTH0133	6.3399	7.3487	7.3837	6.6147	6.8202	6.8826	7.9944	5.7279	7.9009	7.3663	7.6795	7.8580	7.7415	6.0875	6.4094	NA
SYNTH0134	9.4157	8.3707	8.4838	8.6618	8.9571	7.7616	8.1548	9.1699	7.7415	7.4594	8.3880	7.9944	9.2900	8.9337	8.8361	8.7142
SYNTH0135	3.0000	3.0000	2.8074	3.9069	4.0875	4.7549	3.3219	4.1699	4.7004	2.3219	4.3923	3.7004	3.8074	4.3219	2.5850	3.0000
SYNTH0136	8.7039	8.9248	8.2095	8.9366	8.5812	7.3837	6.4594	8.3309	7.6865	7.0768	7.4757	6.4263	6.5850	7.4838	7.2854	7.1599
SYNTH0137	5.0000	2.5850	4.3219	4.0875	3.0000	3.7004	2.3219	2.0000	2.5850	3.8074	4.2479	4.5850	3.3219	3.3219	4.2479	2.3219
SYNTH0138	6.9307	6.8826	6.1497	5.9307	6.9542	7.2761	6.2288	6.3750	7.1898	6.3576	6.6724	7.1799	7.1189	6.3399	7.1396	5.6439
SYNTH0139	4.3219	4.1699	5.0444	3.4594	4.0000	4.2479	3.8074	2.3219	3.7004	3.4594	2.5850	3.0000	4.8580	4.3219	4.3923	4.8580
SYNTH0140	7.5546	7.4594	7.4512	7.2668	7.0661	6.3923	5.6439	7.5850	7.1599	7.9484	7.1799	7.1599	7.5999	6.5999	7.6865	7.7142
SYNTH0141	4.3923	4.2479	4.4594	4.1699	3.0000	4.0000	1.0000	4.7004	4.0000	4.0875	3.1699	2.0000	4.3219	4.1699	4.6439	2.0000
SYNTH0142	5.7814	6.0444	7.0000	6.2854	5.9069	6.2668	6.5078	6.3923	8.2668	8.5078	7.5622	6.9189	NA	7.3309	7.4676	7.9069
SYNTH0143	6.7944	7.3038	8.4136	7.1396	7.4676	8.4635	7.8826	8.2240	6.8948	6.4757	6.4919	7.4838	7.5157	6.2668	8.3794	6.4429
SYNTH0144	6.1293	5.1699	6.5392	5.7004	4.9069	5.9069	3.8074	6.0444	7.0444	6.8455	6.9887	7.3399	6.3576	7.2946	5.9069	7.4094
SYNTH0145	3.4594	3.3219	3.1699	3.5850	3.1699	2.0000	3.0000	4.0000	0.0000	2.5850	3.9069	3.0000	2.5850	3.0000	3.1699	3.4594
SYNTH0146	9.8734	10.4136	8.9513	9.1241	10.7364	9.6073	10.0279	9.9773	7.9600	9.8009	7.1085	8.3966	8.2192	9.7599	8.3354	9.2095
SYNTH0147	4.5236	3.4594	4.0875	4.6439	4.3219	4.9542	1.5850	3.8074	4.4594	3.1699	5.2479	4.8580	3.9069	3.4594	5.6724	4.8074
SYNTH0148	7.5774	7.7748	7.6439	6.7004	8.0661	7.8329	7.3219	6.7814	7.0112	7.8887	8.2715	7.7347	6.6724	6.9887	7.6439	7.8704
SYNTH0149	5.3576	5.5850	5.6147	5.3219	4.8074	5.4263	4.0000	4.9542	5.2854	5.7004	4.1699	4.5850	5.3219	5.3219	5.6724	5.9307
SYNTH0150	7.6935	7.3837	8.1699	6.9425	6.1497	6.4263	8.3794	8.0000	7.0000	8.0875	8.3794	7.5546	7.6147	7.8009	7.1997	6.6294
SYNTH0151	3.0000	2.0000	4.0875	3.4594	2.0000	3.1699	3.7004	4.8580	2.3219	3.5850	3.5850	2.3219	4.2479	3.7004	4.1699	NA
SYNTH0152	5.7814	6.1085	4.8580	5.5546	6.7004	6.1293	6.3923	5.7004	6.5850	5.8074	7.0875	6.7682	5.5546	5.9773	6.4594	6.0224
SYNTH0153	4.9069	3.9069	5.4594	5.1293	3.9069	5.5850	4.3923	5.2479	4.7549	4.0000	4.7004	4.5236	5.3923	5.9773	4.9542	3.3219
SYNTH0154	7.7944	8.4798	8.3399	8.2143	8.2479	7.3750	8.7846	7.7748	8.2336	7.4429	8.2761	NA	8.2574	8.2761	7.8265	7.8009
SYNTH0155	5.4919	7.0334	6.4094	5.9542	6.3923	5.5850	6.0444	5.2479	6.5236	5.2854	6.1085	5.4919	5.7004	4.9069	6.3219	5.8826
SYNTH0156	7.6724	7.0661	6.5850	8.4179	7.9425	7.5469	6.2288	8.4305	6.5699	6.2854	6.1085	6.2288	6.4757	NA	5.9069	6.5699
SYNTH0157	3.3219	3.3219	3.5850	3.5850	3.5850	3.3219	4.9069	4.3219	3.8074	4.5850	4.3219	3.5850	2.8074	3.3219	2.8074	3.3219
SYNTH0158	3.7004	3.5850	2.5850	2.3219	2.5850	1.5850	0.0000	2.3219	2.5850	3.4594	3.0000	4.0000	1.0000	2.0000	2.3219	3.8074
SYNTH0159	7.4998	7.7279	7.1293	7.6073	6.0444	7.1497	7.1293	7.3399	6.3576	6.9189	7.5699	7.4009	8.2854	7.0224	7.0444	7.1997
SYNTH0160	5.9307	7.4919	7.0112	7.4676	7.1599	6.7279	7.5392	6.7944	8.1649	8.8978	8.4878	8.9248	8.8392	8.1344	7.8765	8.3399
SYNTH0161	4.7549	3.8074	5.4263	4.2479	4.3219	4.8580	4.4594	4.0000	5.6439	6.3219	4.7549	3.9069	5.8074	5.9307	5.9542	5.6439
SYNTH0162	5.7549	6.5078	7.8887	5.9307	6.1085	7.3576	6.9307	6.3038	6.2668	5.9542	5.9307	6.3923	6.6582	5.9069	5.8074	6.1293
SYNTH0163	6.5236	6.3219	7.3837	5.7549	6.0661	7.0768	7.0000	6.8455	5.8074	6.5850	7.2574	7.3487	6.1898	NA	6.9773	6.0224
SYNTH0164	5.3923	5.4919	6.1497	5.6439	5.8826	5.6724	4.7549	6.2668	5.7004	5.7814	5.5546	5.9307	6.2854	5.4263	5.5546	6.3750
SYNTH0165	8.3174	8.4757	8.4471	7.4838	8.0000	8.7482	8.6439	7.9542	8.3443	7.7279	7.6366	7.5850	6.2095	7.9307	9.0417	8.0056
SYNTH0166	4.0000	4.7549	4.3219	5.3219	4.1699	4.2479	5.1699	4.5236	4.8074	3.5850	4.5236	5.1699	3.5850	3.7004	5.3923	4.0875
SYNTH0167	8.0980	7.6582	8.1699	8.0498	8.7039	8.4594	7.6582	8.2288	7.6366	6.3038	7.5622	8.1085	7.9830	7.3038	7.6582	8.0607
SYNTH0168	6.6294	7.2668	6.8704	7.4179	7.2095	6.8580	7.3219	6.1085	7.5236	6.7549	6.8948	7.0000	6.9307	7.3038	7.0000	7.5699
SYNTH0169	8.0875	7.1799	6.8329	7.6511	6.7549	8.0444	7.9307	8.5850	6.6865	8.4009	8.3531	5.5236	7.3129	7.5392	7.2095	9.0471
SYNTH0170	5.7279	5.4263	6.0224	5.6147	5.9307	4.9069	5.6147	3.8074	5.4594	3.4594	5.2095	5.0000	5.3576	5.1293	6.3219	5.0000
SYNTH0171	4.0000	3.3219	3.1699	3.5850	3.4594	2.3219	3.1699	3.3219	2.5850	3.8074	2.8074	3.3219	4.7549	2.8074	3.0000	3.7004
SYNTH0172	6.5392	6.3219	7.9542	7.5850	7.2095	7.3923	8.5507	7.9658	6.5699	8.9278	7.0980	7.2384	7.6935	8.8765	8.1137	8.0553
SYNTH0173	3.9069	3.8074	4.7549	5.0444	4.3923	5.1293	4.9542	3.5850	5.8826	4.2479	4.9542	4.4594	3.3219	3.8074	4.8074	5.3219
SYNTH0174	7.2574	7.0334	7.8202	NA	8.2527	6.4757	7.5925	8.0980	8.0334	8.0389	8.3443	7.3576	8.1137	6.3399	6.3576	7.2761
SYNTH0175	4.1699	3.8074	4.7004	3.3219	3.8074	5.3576	3.9069	4.8580	3.9069	3.8074	2.5850	2.8074	4.0875	4.5236	4.7004	4.5236
SYNTH0176	8.0224	7.5078	7.8517	8.6618	8.0168	7.9189	8.8796	8.1137	8.0553	7.5699	8.4798	6.9887	7.5078	7.9307	7.9069	6.5999
SYNTH0177	7.0875	5.1699	7.0980	6.9307	6.6582	6.4263	6.5392	6.2288	7.1699	6.4429	6.5236	5.3576	6.5078	6.7814	NA	6.7549
SYNTH0178	8.4919	7.6147	8.0168	7.0875	8.5392	8.4676	7.9129	8.5038	7.3038	6.7142	7.3219	8.4919	6.2854	8.9571	7.7142	7.3487
SYNTH0179	4.0875	3.1699	4.0000	4.4594	4.8074	5.1699	3.1699	4.3219	4.0000	4.0000	3.4594	5.8826	3.5850	3.3219	4.5236	4.5850
SYNTH0180	7.1293	6.5699	5.5546	6.4263	6.4594	6.5546	5.6439	6.4757	6.6294	6.5236	5.4919	5.0000	5.7814	6.2095	5.8826	6.4263
SYNTH0181	7.3663	7.4009	7.6935	7.5469	7.3923	8.1599	7.1799	7.5774	6.7944	7.3750	7.8704	7.9307	6.3038	6.9189	7.7814	8.2715
SYNTH0182	2.0000	2.8074	3.5850	2.3219	3.7004	1.0000	3.4594	3.3219	3.7004	4.2479	3.1699	2.5850	2.8074	2.3219	2.8074	3.4594
SYNTH0183	6.8580	5.5236	5.7004	5.9069	7.2946	7.1396	6.2479	6.5999	6.7682	6.5999	6.3399	5.7004	7.3219	6.7142	6.4429	6.7944
SYNTH0184	7.5622	8.3219	8.9484	8.9972	8.3531	8.8138	8.4346	8.1548	9.2761	7.6582	8.1293	8.1396	7.9366	8.0224	7.8948	7.4757
SYNTH0185	8.1241	7.0444	8.5699	6.2854	6.4919	8.5507	8.1085	7.0224	6.1293	6.9542	5.2854	6.3576	6.6865	5.9307	5.9542	6.7549
SYNTH0186	6.4594	5.7004	6.7944	6.6147	6.7415	6.6294	5.6147	6.4263	6.6582	6.4594	5.2479	6.6865	5.9542	6.2854	6.6439	5.8826
SYNTH0187	1.5850	2.8074	2.8074	4.3923	2.3219	4.2479	2.3219	3.7004	3.1699	3.9069	3.7004	4.3219	4.4594	3.4594	3.0000	2.8074
SYNTH0188	7.7415	8.0000	8.2900	7.5236	7.3309	7.1497	7.1699	8.4051	7.7004	7.5078	6.6147	6.8704	6.9069	6.9069	7.0553	7.3487
SYNTH0189	9.9929	9.5584	7.8202	8.4221	8.7977	8.6257	9.4325	8.2900	8.9687	9.2621	7.9658	8.4051	8.7347	7.3129	8.2288	8.1749
SYNTH0190	5.6147	4.9542	5.8074	6.0224	4.8074	4.7549	5.2479	5.1293	4.5236	4.0875	2.5850	5.4919	5.0875	5.2479	4.9069	4.4594
SYNTH0191	6.2095	NA	5.9307	NA	6.1497	7.4757	6.3923	6.3750	7.1497	6.4429	6.6147	6.8202	7.1396	6.5546	6.0224	7.1085
SYNTH0192	3.4594	4.2479	2.0000	4.3219	4.0875	2.0000	4.1699	2.5850	3.7004	3.4594	5.0000	3.9069	3.9069	3.0000	3.7004	3.7004
SYNTH0193	3.5850	4.3923	3.8074	4.6439	3.9069	3.5850	4.0875	3.5850	2.3219	4.6439	3.1699	3.3219	3.4594	3.9069	3.5850	3.9069
SYNTH0194	7.2479	6.9425	6.7682	6.7415	6.6865	7.3663	7.3576	7.0768	7.8580	6.1699	6.6865	7.2854	7.0224	6.1699	6.4594	6.6294
SYNTH0195	1.5850	3.8074	3.9069	1.0000	3.3219	2.3219	4.0875	3.1699	2.0000	3.7004	3.7004	2.3219	3.4594	3.0000	2.0000	3.1699
SYNTH0196	3.3219	3.9069	4.0875	2.5850	3.8074	3.0000	3.4594	3.5850	3.3219	3.8074	2.8074	3.5850	2.0000	3.1699	3.0000	4.2479
SYNTH0197	6.8580	6.4919	8.0553	7.7482	7.0768	7.0224	6.3923	6.8580	5.7004	6.8704	7.0661	6.6147	7.0980	7.1293	6.5078	7.3750
SYNTH0198	3.4594	3.3219	4.2479	3.3219	2.0000	4.3923	4.0000	2.0000	1.5850	3.1699	3.1699	3.4594	NA	2.5850	3.3219	4.0000
SYNTH0199	5.6439	3.4594	3.7004	4.7549	4.3219	5.6724	5.5236	5.0444	4.9069	4.0000	4.0875	3.7004	4.4594	5.2854	5.4263	3.3219
SYNTH0200	7.5469	7.8265	7.5925	7.3038	7.8392	7.7211	7.6366	6.9887	5.6147	7.5236	8.0000	7.0224	7.5392	6.7814	7.9773	7.6511
SYNTH0201	7.2574	6.3923	7.0444	7.1898	7.8202	6.1699	7.2192	6.9307	8.8978	7.9069	7.4919	7.0444	7.3129	7.9773	7.5157	8.1085
SYNTH0202	9.0661	8.9629	8.9858	7.3837	8.5812	8.8978	8.4094	8.4553	8.3038	8.7279	7.4429	8.4878	7.6582	8.5887	9.0251	8.9454
SYNTH0203	6.0444	6.2668	5.3219	4.1699	5.6724	4.3219	4.9542	5.0000	4.9542	5.2854	5.7279	5.2479	4.9069	5.4919	5.4919	4.6439
SYNTH0204	5.3219	5.6724	6.4429	6.1293	7.9189	5.7549	6.7814	6.0000	6.8826	7.7279	6.8704	6.3923	7.5699	5.1699	6.4919	6.3038
SYNTH0205	4.1699	4.4594	4.7549	5.0444	5.0875	4.1699	4.1699	4.2479	5.6147	5.7814	5.5236	5.3219	5.2479	3.5850	5.3576	5.2854
SYNTH0206	5.2095	4.7004	6.2095	6.0444	4.6439	6.9189	5.8580	6.1898	3.9069	5.3923	4.3219	6.3576	5.4919	4.8580	5.1699	5.2479
SYNTH0207	6.3576	4.7004	5.9069	5.6724	5.8329	5.6147	5.7549	6.3038	6.3750	6.5078	6.1293	5.4263	5.6724	4.9542	6.3923	5.9307
SYNTH0208	6.2479	6.0000	5.9542	5.4263	6.5078	6.9542	5.6147	5.8580	5.1699	5.1699	5.6724	3.9069	3.8074	5.4594	4.0000	4.9069
SYNTH0209	4.7004	4.9542	3.5850	3.8074	4.2479	4.0875	4.3923	5.2854	3.7004	5.2854	3.8074	4.4594	4.8074	3.5850	4.8580	3.0000
SYNTH0210	8.6760	8.5038	7.7482	8.9129	6.6582	8.7515	8.5078	8.1799	8.4717	9.0224	9.1059	7.5622	8.5392	7.6865	9.6546	8.4221
SYNTH0211	6.4919	7.3487	7.2479	6.5236	6.7682	6.5078	4.5236	6.5392	7.0553	7.1085	6.4757	6.1497	7.1699	7.2574	6.3923	6.7004
SYNTH0212	3.3219	3.7004	2.8074	4.2479	3.8074	4.0000	3.1699	2.0000	4.0000	4.0000	3.1699	2.8074	3.0000	3.8074	3.0000	1.0000
SYNTH0213	3.4594	4.1699	3.5850	4.9542	3.0000	4.3923	2.5850	4.2479	3.1699	4.0875	4.0875	3.0000	4.0000	3.8074	4.1699	5.1699
SYNTH0214	6.5999	6.5236	6.0000	6.0000	5.6147	6.4094	6.2668	7.1189	6.7142	6.3576	5.8074	6.6724	5.4263	5.9069	6.1898	6.5078
SYNTH0215	6.8826	7.1898	8.2854	7.2479	7.3837	5.5546	6.0000	7.6795	6.5999	7.1293	7.3038	5.9773	7.9658	5.9542	7.1699	7.5546
SYNTH0216	7.4757	6.8074	7.2761	7.4263	6.8202	8.1599	6.8202	7.0661	6.0224	6.9542	6.8580	7.7944	6.9189	6.8074	7.3219	6.6147
