GeneSymbol	studyC_case01	studyC_case02	studyC_case03	studyC_case04	studyC_case05	studyC_case06	studyC_case07	studyC_case08	studyC_case09	studyC_case10	studyC_ctrl01	studyC_ctrl02	studyC_ctrl03	studyC_ctrl04	studyC_ctrl05	studyC_ctrl06	studyC_ctrl07	studyC_ctrl08	studyC_ctrl09
SYNTH0035	6.3219	7.0444	7.3309	6.2095	5.5850	6.0875	5.9307	7.7142	6.3576	6.2854	7.8074	6.2288	7.5236	8.1033	7.0224	8.5236	7.9307	6.5999	7.2854
SYNTH0036	2.8074	3.0000	2.3219	2.8074	1.5850	2.5850	2.5850	2.8074	4.5236	3.8074	3.0000	2.0000	3.5850	4.2479	3.9069	2.5850	2.5850	2.8074	3.3219
SYNTH0037	5.4594	4.8580	4.9542	4.8580	5.3219	4.8074	5.6147	5.3923	4.1699	5.1699	4.8580	4.4594	5.1293	5.6724	5.3219	3.5850	3.8074	5.0444	4.0000
SYNTH0038	6.3576	5.3576	6.4263	5.2479	NA	6.0000	5.6439	5.6439	6.6865	6.0000	6.7279	5.5850	6.2668	6.1085	5.3923	4.7549	5.6439	5.8329	6.4094
SYNTH0039	8.8486	9.2288	6.4094	10.2784	8.0768	8.4878	9.2143	8.3837	8.7582	8.5392	9.0741	8.9629	8.8074	8.3531	7.7074	9.2046	8.2992	8.5196	9.3332
SYNTH0040	5.8580	5.9307	6.1085	6.0444	5.6147	6.6439	6.6582	6.2288	6.0875	6.8202	5.1293	5.7279	6.8948	6.1085	7.0553	5.0875	5.5850	7.2479	5.0444
SYNTH0041	7.1497	7.5236	8.0056	8.7279	8.4051	8.8074	7.5469	7.6795	9.3576	8.1497	7.7879	6.5392	7.1898	7.3576	6.4263	7.2668	7.3750	7.1497	7.5774
SYNTH0042	5.4263	6.9069	5.3219	5.1293	5.4919	6.1898	7.0875	6.0224	6.2668	5.6147	5.4919	NA	6.2479	5.3219	7.2384	5.5236	5.1293	6.8329	6.5999
SYNTH0043	5.6439	4.7549	5.4263	4.8074	4.8580	5.7549	5.2095	4.0875	5.8580	5.2854	5.7004	5.5850	6.6147	5.4594	6.4919	5.4919	4.4594	3.9069	5.8826
SYNTH0044	2.5850	3.9069	2.8074	3.1699	3.4594	3.7004	3.0000	3.9069	4.1699	3.8074	4.1699	3.5850	4.5850	3.1699	3.3219	3.8074	1.0000	3.1699	3.7004
SYNTH0045	6.6724	7.2288	7.6294	7.8392	6.4263	7.0444	6.4429	7.1396	7.3309	7.1293	6.7004	5.2095	5.5236	4.5236	5.5546	4.7004	5.2095	5.0444	6.5078
SYNTH0046	5.6147	7.8642	6.7142	7.6582	7.9830	8.6618	7.2854	7.5078	6.4919	6.6439	8.7616	8.6294	7.3576	6.1497	7.8392	8.0056	8.2761	7.7415	8.1548
SYNTH0047	8.6257	7.7748	7.8455	9.3129	7.3663	7.2574	8.1497	8.3309	8.4757	9.2384	6.6724	8.2240	7.7142	7.5546	7.4594	7.1799	6.4757	7.5236	7.8887
SYNTH0048	2.8074	4.2479	4.0000	3.3219	2.3219	4.3219	3.1699	3.4594	4.0000	2.0000	3.4594	4.1699	2.5850	3.1699	3.3219	1.0000	3.3219	1.0000	3.3219
SYNTH0049	5.6439	3.8074	5.2854	5.6724	4.5850	4.9542	5.1293	6.2095	5.3576	4.8580	5.3219	5.0875	5.4919	6.0661	5.8329	6.1699	5.9773	5.7814	5.7549
SYNTH0050	7.2288	6.3750	6.3399	6.6865	6.0000	6.8074	5.2854	5.4594	5.7814	6.0444	6.9307	6.9773	5.9307	7.1898	6.9658	6.4429	7.5774	5.4263	5.7004
SYNTH0051	8.9189	9.4512	7.7074	8.6221	7.5392	9.1997	9.2691	8.0768	9.8517	8.6036	9.4878	8.6760	8.6221	8.3794	9.3794	9.1774	7.6221	9.9396	9.5469
SYNTH0052	9.0389	9.6366	7.9484	10.4294	8.8329	9.2574	9.2264	6.7415	9.5157	8.6366	8.0821	8.0768	9.1573	9.1799	9.8090	8.7108	8.7415	8.8887	8.9039
SYNTH0053	5.3576	5.6724	6.0875	4.6439	3.5850	6.2095	4.7004	5.1293	4.0000	5.3219	4.0000	5.1699	5.6724	5.2479	6.1699	5.5850	5.5850	5.0444	4.7549
SYNTH0054	9.2715	8.2384	8.5196	9.7177	8.2143	9.3597	8.6221	9.1548	9.6777	6.9189	8.4009	9.3509	9.4157	8.0875	8.5314	8.8765	9.5177	9.3597	9.2021
SYNTH0055	4.7549	4.7004	5.0444	3.8074	4.8074	5.2479	3.1699	4.9069	5.2479	5.0875	5.3219	4.3923	5.9773	4.7549	6.5850	5.9307	5.7279	6.5999	4.7004
SYNTH0056	8.4959	7.0000	8.5999	8.2192	9.6184	8.4305	8.3038	7.0000	8.3264	7.1699	8.7846	8.7944	8.8549	7.5236	8.7549	8.9484	8.0768	8.5812	8.7245
SYNTH0057	6.2668	6.5236	7.0980	7.0553	6.4919	7.2574	6.8948	7.0875	6.4594	6.7944	6.8826	6.1699	6.2288	7.0768	7.1599	7.7074	7.5999	7.2479	6.4263
SYNTH0058	5.4263	3.3219	6.1293	4.5850	3.1699	4.0875	5.0000	4.8074	4.7004	4.5850	4.8580	5.8074	3.9069	4.7549	4.9069	4.8074	4.0875	4.5850	5.0000
SYNTH0059	7.6294	8.2240	6.5699	8.0498	7.8329	6.9658	7.2854	7.9542	6.7279	7.5469	7.4757	7.7944	7.2761	6.3219	7.3750	7.7482	8.1396	7.1599	7.5774
SYNTH0060	8.0112	7.7682	8.3923	7.4179	7.8704	7.7004	7.7279	6.7944	7.2946	6.6724	7.5546	8.4009	5.5850	8.1749	7.2946	6.7814	8.1849	6.5078	7.7944
SYNTH0061	8.1344	9.5353	9.6129	7.9484	8.7211	8.9159	8.6830	8.9944	8.3794	6.8826	7.6221	9.0795	8.2046	8.4635	8.6110	9.4858	9.1674	8.7177	8.6439
SYNTH0062	3.3219	5.5236	4.7004	4.1699	5.3923	4.6439	4.7004	4.0000	4.5236	4.3219	5.2479	4.9069	NA	4.0875	4.2479	4.3219	5.0444	4.0000	5.5546
SYNTH0063	3.1699	3.3219	3.5850	2.3219	3.9069	4.3219	1.5850	3.3219	3.5850	3.9069	3.7004	4.0875	4.1699	4.1699	2.8074	4.1699	1.5850	3.0000	3.1699
SYNTH0064	7.1396	5.7549	5.3219	4.1699	6.2095	5.2854	7.1699	6.0875	6.5699	4.7549	5.9069	6.2288	5.8329	5.4263	5.8826	4.8074	5.5850	6.1699	6.7004
SYNTH0065	4.9542	5.7814	5.0875	5.5236	5.8580	5.4594	5.2095	4.6439	5.4594	5.2854	4.7549	4.0000	5.8074	5.1699	5.2479	4.3923	5.4919	4.2479	4.7004
SYNTH0066	6.1085	5.0444	5.0444	4.9069	5.8580	4.3219	4.3923	5.2479	4.0875	4.3923	4.1699	4.6439	4.0000	4.4594	4.9542	4.3219	3.7004	4.7004	4.2479
SYNTH0067	4.9069	4.0875	3.9069	4.4594	4.2479	4.6439	3.5850	4.5850	4.3923	3.8074	4.0000	2.3219	2.3219	3.5850	3.0000	2.8074	4.1699	3.1699	3.3219
SYNTH0068	6.7814	7.9009	7.6221	6.1898	7.0000	7.0875	7.5314	8.0000	6.2854	6.7004	7.0000	7.3837	6.9773	7.4346	6.5699	6.5236	7.4512	6.3923	6.8580
SYNTH0069	6.4094	5.8074	6.6865	5.7549	6.3923	6.3219	6.5546	6.1699	6.2668	5.4263	5.8074	6.3923	5.9069	6.2668	6.4429	6.1898	6.1497	7.1997	5.9773
SYNTH0070	8.2574	8.0553	7.5078	8.2432	7.2854	8.7245	8.6184	8.5736	8.3174	9.1523	8.5850	8.8517	8.5353	7.1799	8.8202	7.3487	7.8392	7.8455	8.3923
SYNTH0071	4.0875	4.8580	4.5850	4.1699	4.5236	4.2479	4.0875	4.5850	4.2479	4.1699	3.4594	NA	4.4594	3.7004	3.7004	4.4594	4.7549	4.5850	3.3219
SYNTH0072	7.1898	6.8455	8.9915	8.5999	NA	6.7549	7.3837	7.6724	7.1599	8.2946	7.0224	8.0928	7.5314	7.1085	8.0168	7.0000	6.1898	7.7549	7.9484
SYNTH0073	5.2854	6.8455	6.5546	6.3038	5.9773	5.3576	6.7944	6.3750	5.4594	6.2854	6.0661	6.2668	7.0000	5.8580	5.8329	6.0000	6.6147	5.8580	6.3038
SYNTH0074	7.1898	7.6582	7.3399	7.2192	7.3399	7.0224	7.0444	6.8826	5.2854	5.8074	7.0000	7.5392	7.4179	7.3837	6.8074	7.8948	8.0980	6.5999	7.5850
SYNTH0075	7.6795	7.1293	7.8455	6.9425	6.8329	NA	7.4757	7.2192	6.8704	7.2479	6.3399	7.2192	6.3750	6.1085	7.5392	6.5546	6.7004	7.0768	7.3038
SYNTH0076	5.8329	5.8074	7.1497	6.5850	6.9887	6.8329	7.3038	5.2479	6.7944	6.5699	6.9307	6.9069	7.8138	7.3038	5.6147	6.9773	6.9658	6.9189	5.3923
SYNTH0077	7.9542	7.5774	7.6724	8.3619	8.7482	6.8704	6.6147	7.3038	7.9830	7.2095	8.4553	7.3837	6.9307	7.6511	7.5925	8.3531	8.1649	8.5157	7.8455
SYNTH0078	4.0875	4.7004	5.0875	3.5850	3.8074	4.7004	4.5236	4.6439	4.6439	3.3219	4.0000	4.2479	4.0875	4.2479	5.1293	4.7549	5.3219	4.0000	4.6439
SYNTH0079	7.7748	6.5699	6.4757	NA	7.2946	6.6865	6.5699	6.8826	7.2479	6.2854	7.4757	6.0875	6.1293	8.1599	6.6294	7.1085	7.0224	7.3129	5.9773
SYNTH0080	8.5157	7.9887	8.2384	7.7482	8.9454	9.1396	9.2336	8.7448	9.2621	7.7004	8.8106	7.6294	8.7879	8.3663	9.0768	8.3219	8.0389	8.5430	8.3880
SYNTH0081	8.1799	7.5546	9.1137	8.3399	7.6653	8.8549	7.6935	8.4717	8.6795	7.3399	8.4051	8.3487	9.0251	9.2946	8.9307	8.7108	9.4030	8.9830	7.1497
SYNTH0082	3.3219	3.8074	2.0000	3.3219	3.3219	2.3219	3.0000	2.5850	2.8074	3.0000	2.3219	2.3219	2.5850	1.5850	3.4594	2.5850	3.3219	2.5850	3.7004
SYNTH0083	6.4263	5.7549	6.5999	6.9658	6.1898	4.8580	6.1085	6.0224	6.6582	6.9542	7.5622	7.9658	7.1497	7.3663	7.8948	7.9715	7.0112	7.6147	8.1849
SYNTH0084	6.8948	7.4919	8.4305	7.7616	7.7279	6.8329	8.2479	7.7415	8.2808	7.2479	7.9887	6.9542	7.6935	7.9248	7.2288	9.0307	7.5314	7.5850	8.2240
SYNTH0085	8.3794	7.3750	8.3750	6.9189	8.4798	7.2479	9.0279	7.8642	9.1189	8.8170	8.3219	7.1997	8.9801	8.5622	7.5622	7.6221	8.7142	8.0980	7.2192
SYNTH0086	4.1699	4.8580	5.1293	6.2854	5.4919	5.8329	4.4594	5.8329	4.3923	5.1699	4.3923	5.8074	6.0224	5.8329	5.6147	5.4919	6.1699	5.4594	4.9542
SYNTH0087	3.3219	5.0000	4.5850	4.5850	5.8074	3.1699	5.3923	4.0875	4.5236	3.9069	4.7549	5.0444	3.8074	3.5850	2.8074	4.3219	4.8074	5.9069	3.1699
SYNTH0088	8.5430	8.5812	8.9484	7.8517	8.8234	8.5469	9.4696	9.0471	9.0112	9.0580	8.4009	6.9307	7.8765	6.8704	7.6294	5.7549	7.1497	8.1699	7.6511
SYNTH0089	5.4263	5.5236	5.8580	6.7004	6.3038	7.0112	6.5999	6.0000	7.7074	6.9542	6.7142	6.0000	5.8074	6.8202	7.3309	5.7814	6.9069	6.7944	4.9542
SYNTH0090	5.9542	5.8329	5.7279	5.2479	5.1699	5.0875	4.1699	5.9542	5.1293	4.0875	5.3219	5.2479	4.0000	5.7279	5.5850	4.3923	5.7004	4.0875	5.9773
SYNTH0091	7.9425	6.0875	7.5469	5.4263	7.5392	6.8329	6.9887	7.7748	7.2192	7.0224	6.2288	7.2192	7.7682	6.1699	7.9366	6.6147	6.9887	6.7814	7.1085
SYNTH0092	6.4094	6.7814	6.9425	6.1085	6.7279	6.3750	8.1137	7.2479	7.0112	6.3923	5.0444	7.6935	5.7004	6.5850	8.0768	6.6582	7.1497	6.0444	5.7814
SYNTH0093	3.9069	5.9542	4.9542	5.5546	NA	4.9069	4.8580	6.0000	5.0000	5.3219	5.6439	5.4263	4.9542	4.9542	5.8074	5.2095	5.2095	4.3219	5.8826
SYNTH0094	8.0661	7.9887	7.8517	7.8517	8.4009	8.3399	7.1699	9.0580	7.8642	7.3837	8.2574	8.3707	9.1421	7.6147	7.8138	7.9248	7.7944	7.9248	8.3129
SYNTH0095	10.3554	9.6257	8.3707	8.1898	9.0251	8.8361	8.1699	8.8170	8.8826	9.1472	8.5314	8.8642	9.5981	9.0607	7.6653	NA	7.5157	8.0168	8.6330
SYNTH0096	2.0000	4.2479	3.5850	3.3219	3.1699	2.5850	3.5850	4.1699	3.0000	2.5850	3.4594	2.3219	3.8074	2.3219	4.5850	2.5850	3.5850	3.3219	4.0875
SYNTH0097	6.6147	7.8517	7.0768	6.8948	7.4594	7.1396	7.2192	6.6865	7.6294	7.0980	8.2715	6.8329	7.4179	5.9773	7.8517	6.1898	7.2288	6.6294	6.8826
SYNTH0098	3.4594	4.0875	4.1699	4.5850	4.7004	5.4263	4.9542	4.9069	4.3923	3.4594	3.8074	2.0000	3.3219	4.5236	4.5236	5.2854	4.9069	3.8074	4.9542
SYNTH0099	8.0279	8.2761	9.3794	8.4717	8.8796	8.1948	9.1319	7.6582	8.6511	7.1293	8.6865	7.7074	8.7649	7.4429	9.1573	9.2021	7.9248	8.1293	8.0168
SYNTH0100	5.5546	3.3219	4.3923	4.6439	5.1293	3.3219	4.3923	5.4594	4.9069	4.4594	3.7004	5.4594	5.0444	4.1699	5.4594	4.7004	5.5546	5.8074	4.3923
SYNTH0101	4.0875	4.0000	4.5850	4.1699	2.3219	1.5850	4.4594	3.4594	3.8074	3.5850	4.0000	2.8074	3.9069	4.0000	4.2479	4.3219	3.5850	2.8074	3.9069
SYNTH0102	5.7814	4.2479	6.0000	4.7549	5.0444	5.6724	5.4594	5.3576	4.7549	6.5999	5.1293	NA	4.7549	5.1699	5.9069	5.9069	5.7814	6.1293	5.6147
SYNTH0103	8.1293	9.0498	8.2479	8.6760	8.7944	8.3707	6.7004	8.5584	9.2877	8.1293	7.9009	8.3264	8.2384	8.0168	7.4919	6.5999	7.3576	8.2336	8.1898
SYNTH0104	4.8074	3.7004	4.2479	5.5236	5.3219	4.0875	4.5850	4.3923	3.5850	5.1699	5.6147	4.9069	3.5850	4.9069	4.5850	4.0875	5.2854	3.5850	3.4594
SYNTH0105	6.6865	7.4919	6.6865	5.9307	6.6439	7.7211	6.6294	6.6147	7.3923	6.8948	6.0661	6.6582	6.4094	6.4594	7.2668	7.4346	7.1997	7.0661	7.3129
SYNTH0106	8.7211	7.8765	7.6511	8.9366	7.4838	8.1849	8.2946	9.3174	8.2992	8.2854	8.9484	8.9069	8.0279	8.1137	8.9069	8.2046	7.8074	8.5196	8.0224
SYNTH0107	4.9542	6.9773	4.5850	6.4919	6.4594	7.0224	6.8074	5.4919	7.8765	5.7279	6.7814	5.1293	4.5236	4.1699	6.1699	6.1497	6.1085	5.3576	5.5236
SYNTH0108	5.1699	5.7004	5.4263	5.6147	6.1497	5.7279	4.7004	4.8580	5.3576	5.2479	5.7814	4.9069	5.2854	6.6582	6.6865	6.7415	5.5850	6.1085	5.3923
SYNTH0109	4.2479	3.5850	4.3923	3.5850	3.8074	4.5850	3.3219	4.5850	4.0000	2.5850	4.8074	3.1699	5.1293	4.5236	3.7004	5.2095	4.6439	5.1699	4.9069
SYNTH0110	4.2479	3.9069	3.5850	3.0000	3.0000	3.7004	0.0000	3.8074	1.0000	3.8074	3.1699	3.7004	4.8580	0.0000	2.8074	2.5850	2.8074	2.0000	4.0875
SYNTH0111	6.7142	7.1599	5.8826	6.8455	6.7549	5.8580	6.3923	7.1396	7.2946	6.8202	7.6221	7.2854	7.0661	7.4676	5.9307	7.1293	6.7814	7.4757	7.5546
SYNTH0112	5.7004	4.8074	5.8074	5.6147	3.7004	5.7004	4.7549	5.6439	4.6439	4.5236	5.6439	5.0875	5.8074	5.4594	4.4594	5.0444	NA	5.6724	5.7004
SYNTH0113	6.1898	5.5546	5.3576	4.4594	5.6147	5.3576	6.0224	5.0444	5.7004	5.6439	6.7814	7.0980	4.5850	5.2095	4.6439	5.5850	5.0000	5.6724	5.3219
SYNTH0114	5.6724	5.1293	5.5236	4.3219	4.5236	4.5236	5.5850	3.8074	2.3219	4.0875	5.8329	5.2095	4.7004	5.4263	4.8074	5.1293	5.4919	5.1293	4.2479
SYNTH0115	4.7004	3.8074	3.5850	5.7279	4.8074	4.7549	5.3219	5.3219	5.0875	4.5850	3.9069	4.7004	3.4594	5.3219	4.4594	3.9069	3.5850	4.8580	3.8074
SYNTH0116	8.3707	8.1396	8.2336	7.4009	6.5236	7.3750	6.5078	8.8361	8.2854	7.0112	8.3966	8.0553	8.0553	8.3487	9.0901	7.9944	8.6221	8.4221	7.8138
SYNTH0117	5.0000	5.3219	4.2479	5.5546	2.8074	5.1293	5.9773	4.5236	5.8074	5.4919	6.3923	6.7004	5.4594	5.0875	4.9069	5.4919	5.0444	5.3219	6.4919
SYNTH0118	4.7549	5.4263	5.4594	4.6439	5.2095	5.6439	4.0000	5.0000	5.4594	4.5236	4.0875	2.5850	5.2095	5.6439	4.9542	4.8580	5.8580	4.5236	5.2854
SYNTH0119	6.5078	6.2095	5.6147	4.5850	6.4429	5.7549	6.1497	5.9307	4.7549	4.5236	5.7549	4.0875	5.9069	4.2479	5.6439	6.7279	6.2854	5.4919	5.8329
SYNTH0120	5.5546	4.0000	4.6439	3.9069	4.1699	5.8074	4.2479	5.5546	4.5236	4.6439	4.6439	3.5850	5.7004	5.6724	4.7004	5.2479	4.6439	4.0000	5.5850
SYNTH0121	7.1799	7.1898	7.0980	7.6795	7.9009	5.9069	7.6935	7.2192	7.4512	7.1189	7.0661	6.7415	7.0661	7.0661	6.5699	7.1599	7.3129	6.5999	7.8074
SYNTH0122	7.7142	7.9248	8.1344	8.3794	7.3038	6.7944	8.6618	7.7347	7.4512	7.5078	8.0444	7.8887	8.0980	8.9830	8.4838	8.0112	8.5699	8.9542	8.0498
SYNTH0123	4.8580	5.1699	5.2479	6.7814	6.0000	5.4594	6.2288	3.1699	5.6439	5.3923	5.7279	6.1293	6.0224	6.7682	5.9773	5.5850	6.3923	6.3750	6.3399
SYNTH0124	5.9773	3.1699	4.8580	4.2479	5.7814	5.1699	4.8074	5.5850	6.8202	5.4919	5.2479	5.2854	5.5546	5.8580	4.4594	6.3038	5.0875	6.0444	5.4919
SYNTH0125	7.9484	7.6935	6.9773	6.9069	7.7682	7.1396	6.6147	7.3219	6.3923	NA	7.8455	8.9307	6.8074	7.9484	6.5078	8.0821	7.2288	7.1599	7.3576
SYNTH0126	9.0056	8.1599	8.5661	9.1370	8.4512	8.7313	8.3531	8.3750	7.7682	8.0715	8.3399	7.8138	8.0661	7.0334	8.5999	9.1215	8.0821	8.2384	6.9542
SYNTH0127	6.6147	6.5236	6.3219	7.0000	7.0224	6.3750	5.9307	7.0112	6.5850	6.4263	6.7814	6.1898	5.9069	6.0444	5.4263	5.6147	7.0224	6.5078	6.7279
SYNTH0128	4.8074	4.3923	4.7549	3.7004	5.7004	3.3219	5.4919	4.0875	4.5850	4.7549	4.8074	3.8074	5.7004	5.0444	5.3923	4.3923	4.6439	4.3219	4.4594
SYNTH0129	3.0000	3.3219	3.1699	2.3219	2.5850	3.3219	2.3219	3.4594	3.4594	2.3219	2.3219	4.7549	3.4594	4.6439	4.0875	5.5236	4.5236	2.5850	3.8074
SYNTH0130	5.7814	4.6439	4.5850	5.0875	4.8580	3.7004	5.5546	4.0875	5.2854	4.3923	4.3923	4.8580	4.8074	4.5850	4.9069	5.2479	5.3923	5.6724	5.5850
SYNTH0131	8.1293	9.6147	8.6582	7.8517	7.5699	8.4263	7.7004	9.2644	8.7074	8.1085	9.1111	8.1749	9.2336	8.2143	8.9366	9.6294	8.6366	8.7039	9.7814
SYNTH0132	7.8265	8.5157	9.3264	8.0768	8.8611	7.9009	7.5157	8.0498	9.1573	7.9248	8.6110	6.6582	7.4179	7.6582	8.5078	7.9600	7.7944	7.2854	8.1799
SYNTH0133	7.8455	6.9658	7.5546	8.0168	7.3038	6.5078	8.0334	6.0661	7.4919	6.3399	7.9366	6.9307	6.1293	8.1699	8.0928	7.8074	8.6724	7.7814	9.0417
SYNTH0134	9.0112	8.7912	8.2192	9.2408	9.4409	8.7616	10.0634	9.4009	7.3923	9.4471	8.9830	8.5925	8.5507	9.1007	8.6147	8.4305	8.2715	9.0251	8.5314
SYNTH0135	4.3923	4.8074	4.6439	3.4594	3.9069	4.7549	4.7004	2.8074	1.0000	3.1699	5.3576	3.7004	4.0875	4.7549	3.1699	3.8074	3.0000	4.0000	3.0000
SYNTH0136	8.8517	9.3576	8.6147	8.9830	8.0875	8.5925	8.8549	9.0168	8.6110	8.1849	NA	6.8329	6.6865	6.7944	8.8857	7.6294	8.1749	7.1189	6.8074
SYNTH0137	3.7004	4.5236	3.8074	2.3219	3.3219	2.8074	3.8074	4.8074	4.0875	3.5850	3.9069	3.7004	3.0000	3.8074	3.4594	3.0000	2.3219	3.4594	2.5850
SYNTH0138	6.6865	6.7142	6.4263	5.7814	6.4919	7.1699	6.5850	5.9542	6.2479	6.8329	6.4757	6.2479	5.4919	6.7415	6.0000	7.1997	6.2668	7.1699	6.0661
SYNTH0139	3.7004	3.8074	4.2479	3.7004	3.4594	3.9069	4.0000	4.2479	4.5850	3.4594	3.1699	4.4594	3.0000	4.8580	4.3219	4.1699	4.5236	3.7004	3.9069
SYNTH0140	6.4594	7.7616	7.7814	6.7682	6.8455	7.0875	7.8948	7.0000	6.2668	7.1497	7.3399	7.7004	8.0000	6.8948	7.6221	7.2574	6.0000	6.8826	7.6221
SYNTH0141	3.8074	4.8074	4.6439	4.9069	4.0875	3.9069	3.1699	2.8074	5.0444	4.7004	4.8580	4.4594	3.4594	4.5236	3.5850	NA	4.5236	3.4594	5.2854
SYNTH0142	6.8202	6.7814	6.5699	6.8948	7.2095	7.3837	6.3576	6.8329	6.7682	6.4919	7.9129	6.8329	7.0334	7.7814	6.4919	8.0498	7.1799	7.3399	7.1293
SYNTH0143	8.3531	7.1898	7.4009	7.1599	7.5314	7.8265	7.8765	7.5392	7.8392	6.8704	6.7142	7.9366	8.2336	6.9069	7.6582	7.8009	6.6724	7.4676	7.4346
SYNTH0144	5.3576	5.5850	5.3219	5.9542	6.0661	5.6147	5.6147	5.1699	3.7004	3.8074	6.2668	5.6147	7.0980	7.0875	7.4179	6.7682	6.3923	7.6653	7.5774
SYNTH0145	2.3219	3.4594	2.0000	2.5850	3.0000	3.5850	3.3219	2.5850	2.8074	2.0000	3.3219	2.5850	3.0000	3.1699	3.0000	3.0000	3.0000	3.4594	3.9069
SYNTH0146	9.6018	9.9410	9.2021	9.4737	8.6900	7.8202	9.6582	9.6384	9.5392	8.7245	8.1649	8.2046	7.9944	7.7347	8.0875	8.5507	9.3772	7.7279	8.7482
SYNTH0147	3.8074	5.0444	3.4594	4.0875	4.8580	4.3219	4.7004	5.4263	3.5850	6.1898	4.9069	4.1699	4.5236	4.3219	3.8074	4.7549	4.2479	4.6439	4.5236
SYNTH0148	8.5699	6.4919	7.7814	7.6439	6.6147	6.7279	8.1849	7.6511	7.1799	7.5392	7.6724	7.0444	7.1699	7.9944	7.2192	7.9773	7.6221	8.0553	7.3038
SYNTH0149	6.0224	5.8826	4.5236	5.3923	4.7549	4.9069	4.7549	4.5236	4.9542	4.4594	NA	5.0444	5.3219	5.5850	6.7549	5.3219	5.3576	5.2479	5.3576
SYNTH0150	7.2192	7.0334	7.9715	7.3663	7.0000	7.9307	8.1898	8.8455	7.4346	8.3174	7.4919	7.8392	8.2992	9.0084	8.2432	8.0498	8.3837	8.2574	7.4179
SYNTH0151	4.7004	4.5850	2.5850	3.5850	3.5850	3.1699	3.9069	4.8580	4.1699	4.0875	4.7004	3.5850	3.3219	2.5850	4.3923	4.0875	3.8074	2.8074	1.5850
SYNTH0152	6.4263	5.3576	7.0768	5.3923	7.3219	6.0661	6.7142	5.4919	7.0112	7.3837	5.6439	6.3923	6.8826	6.9658	6.2288	6.4094	6.7279	6.2288	5.2854
SYNTH0153	5.2854	5.8329	4.8580	5.4919	4.3219	4.8580	5.5236	4.8580	4.9069	4.8580	4.2479	4.3923	5.9542	4.2479	3.8074	5.4594	4.3219	6.0000	5.5850
SYNTH0154	8.6294	9.0084	8.6402	6.6865	8.1085	8.4998	7.7279	9.1824	8.1497	8.8392	8.8549	7.4429	8.4998	8.2900	8.2668	7.5469	8.2143	7.7814	7.6147
SYNTH0155	6.4263	6.2095	5.9542	6.4757	NA	5.1699	6.6294	NA	5.9307	6.3923	6.1293	4.3219	7.0661	6.5236	7.2761	5.9307	5.4919	5.6724	4.5236
SYNTH0156	7.6439	7.2946	7.9009	7.7482	7.8517	8.6830	7.8202	8.3264	7.1898	7.5392	6.4094	6.0224	6.9658	7.0980	7.3837	6.3923	5.4919	6.8455	6.5392
SYNTH0157	4.5236	1.0000	2.8074	3.7004	4.3923	3.0000	3.0000	4.1699	4.5236	2.8074	2.5850	4.3923	4.3923	3.4594	3.9069	4.0000	3.7004	4.0000	3.7004
SYNTH0158	3.3219	2.8074	3.8074	2.8074	3.0000	2.5850	0.0000	2.8074	1.0000	3.3219	4.0875	3.5850	3.8074	2.8074	1.5850	3.0000	3.8074	3.1699	3.3219
SYNTH0159	6.5236	8.2808	7.4757	7.6073	7.5699	6.6865	6.7814	7.0444	7.7482	6.9542	7.3219	6.4263	7.3129	6.3219	6.9542	7.9715	8.2288	7.6073	7.0224
SYNTH0160	7.2479	6.6865	6.8329	7.4512	7.8074	8.1085	7.5078	6.9658	7.5157	7.4757	7.3663	9.4136	8.0168	8.4136	8.4221	8.2288	9.0196	7.7549	7.7415
SYNTH0161	4.4594	5.2095	2.5850	5.4919	4.7004	5.3219	4.9542	4.7004	4.7549	5.0875	4.7549	6.3399	6.1898	5.8826	6.1497	6.4094	5.0000	6.3576	6.4594
SYNTH0162	7.4179	6.6724	5.0444	6.2095	6.7142	5.3923	6.8948	6.2854	7.7944	6.8948	5.5546	7.2946	6.6582	6.1699	6.8704	7.2384	6.7814	6.8202	5.4919
SYNTH0163	6.1293	6.7814	6.3038	6.5392	6.7279	7.2479	6.0000	5.4263	6.0661	6.7279	6.8826	7.3399	6.5392	6.4919	7.3837	7.7004	6.1085	7.1997	7.9009
SYNTH0164	6.7814	6.8202	6.4757	5.6147	5.6439	5.8074	4.5850	4.3923	6.0444	5.6147	6.0224	6.7142	6.1497	6.1085	5.5850	5.9069	6.7944	6.5546	6.0000
SYNTH0165	8.8234	7.7549	8.0553	8.9366	7.4838	7.7004	8.3443	7.1189	8.8580	8.6221	8.6653	NA	6.8948	7.1189	8.3837	7.7482	7.1799	8.4635	7.6294
SYNTH0166	4.3219	4.9069	4.2479	4.9542	5.2095	4.8580	4.4594	2.8074	5.3219	4.5236	NA	5.3219	3.7004	4.3219	3.8074	4.8580	4.8074	3.5850	5.3576
SYNTH0167	7.7279	7.1189	8.7313	7.9484	8.0661	7.8202	5.0875	7.3923	8.8796	8.4635	7.0553	7.7415	9.0279	8.0607	8.9972	7.8138	8.7108	8.4221	8.3923
SYNTH0168	5.6147	6.5392	7.9425	7.8138	8.6865	7.1799	7.4263	7.9944	7.1396	5.9773	6.9425	7.6724	6.5999	6.9425	7.7748	7.0661	7.6935	7.7279	7.3219
