gene	studyC_case01	studyC_case02	studyC_case03	studyC_case04	studyC_case05	studyC_case06	studyC_case07	studyC_case08	studyC_case09	studyC_case10	studyC_ctrl01	studyC_ctrl02	studyC_ctrl03	studyC_ctrl04	studyC_ctrl05	studyC_ctrl06	studyC_ctrl07	studyC_ctrl08	studyC_ctrl09
SYNTH0202	287	651	210	250	279	737	535	691	1146	275	547	684	549	538	1116	245	332	413	1048
SYNTH0203	68	29	42	19	48	16	44	79	41	34	15	31	37	13	45	53	45	61	47
SYNTH0204	71	63	62	145	145	71	150	90	100	89	36	180	85	184	135	146	100	102	45
SYNTH0205	47	24	47	45	66	20	63	32	47	29	19	24	39	50	17	16	38	43	25
SYNTH0206	15	76	39	83	60	30	75	101	40	22	27	49	52	94	44	50	35	29	52
SYNTH0207	83	33	34	50	22	105	58	63	56	66	59	66	61	76	58	120	65	40	81
SYNTH0208	52	115	122	108	124	71	121	80	46	74	21	13	51	12	35	26	64	20	28
SYNTH0209	9	21	15	20	10	31	8	23	14	17	14	42	19	21	35	11	10	45	32
SYNTH0210	267	296	466	543	580	701	585	761	476	293	194	511	517	614	630	689	361	471	271
SYNTH0211	89	158	156	76	144	153	97	116	233	152	174	185	122	94	149	88	42	99	119
SYNTH0212	0	18	23	1	14	27	19	8	4	12	4	7	12	16	10	10	5	13	12
SYNTH0213	14	16	32	8	14	11	27	12	18	16	24	16	4	12	35	31	13	24	21
SYNTH0214	44	64	49	28	97	56	61	54	96	27	83	68	69	60	80	126	64	75	65
SYNTH0215	207	49	54	144	99	220	348	105	321	237	66	246	276	240	120	196	432	172	182
SYNTH0216	80	115	122	102	232	84	84	192	290	309	74	325	233	202	112	207	72	117	118
SYNTH0217	474	547	1005	359	546	419	394	224	1049	385	669	486	767	929	379	755	255	276	346
SYNTH0218	27	41	9	16	36	4	36	28	18	43	20	6	25	21	25	29	28	46	41
SYNTH0219	144	79	169	75	67	211	126	38	65	107	179	96	73	76	83	55	38	59	114
SYNTH0220	106	42	80	106	72	87	36	113	60	69	166	39	58	107	115	35	129	168	79
SYNTH0221	21	10	2	8	5	10	1	6	14	0	13	7	7	7	2	2	3	4	8
SYNTH0222	181	193	175	237	152	195	354	165	223	127	123	167	285	285	194	192	197	342	138
SYNTH0223	38	32	25	18	21	11	11	9	22	20	5	32	26	14	17	26	13	12	22
SYNTH0224	10	16	11	16	10	6	15	16	24	12	21	13	22	11	18	19	19	9	11
SYNTH0225	12	29	15	30	22	21	51	36	38	7	18	23	57	20	26	32	45	29	51
SYNTH0226	330	661	280	776	302	360	623	686	272	537	953	477	611	620	446	437	454	379	540
SYNTH0227	14	16	12	5	10	16	31	10	32	14	38	9	9	13	17	30	20	16	13
SYNTH0228	13	51	16	17	37	9	29	26	29	20	24	25	9	28	39	20	41	24	30
SYNTH0229	65	55	33	10	82	29	50	52	60	61	82	50	104	40	56	29	41	84	137
SYNTH0230	66	108	54	91	62	38	55	28	52	111	38	46	58	63	76	69	86	60	60
SYNTH0231	97	152	199	210	65	195	225	227	284	89	143	200	142	145	142	128	172	392	215
SYNTH0232	245	360	292	125	239	293	107	111	93	198	106	250	91	203	260	151	192	227	331
SYNTH0233	52	7	34	60	31	10	52	6	41	43	23	25	41	45	45	31	45	58	58
SYNTH0234	21	39	12	13	28	53	29	81	23	31	24	17	8	36	38	17	26	29	10
SYNTH0235	118	62	35	57	152	72	47	100	87	66	159	173	193	107	45	58	53	79	51
SYNTH0236	133	75	149	87	35	60	51	132	52	71	71	118	88	71	39	202	26	49	77
SYNTH0237	3	18	13	18	11	15	6	4	18	2	12	7	23	7	10	5	11	14	4
SYNTH0238	27	24	31	32	24	48	18	49	7	40	18	7	9	11	15	13	13	8	17
SYNTH0239	8	10	6	13	7	4	23	13	2	16	8	8	8	7	11	3	9	8	8
SYNTH0240	36	33	47	79	72	52	43	53	23	46	42	67	30	31	15	73	22	29	39
SYNTH0241	194	190	94	169	245	271	162	241	289	254	157	162	73	94	231	84	109	163	20
SYNTH0242	77	98	62	61	52	46	38	59	113	125	64	48	133	121	158	88	43	47	107
SYNTH0243	7	8	17	16	6	12	18	19	3	14	3	11	23	5	9	23	3	9	12
SYNTH0244	188	91	69	134	159	89	42	107	76	146	308	118	126	184	25	90	185	191	40
SYNTH0245	192	281	137	57	231	141	227	86	170	66	195	197	249	201	79	207	195	97	100
SYNTH0246	15	16	13	14	15	13	3	8	20	11	19	21	15	15	14	10	4	7	21
SYNTH0247	49	35	14	16	41	46	39	35	24	15	16	29	29	8	21	19	39	26	18
SYNTH0248	504	535	172	532	264	834	606	359	480	278	152	327	1112	301	172	736	450	440	310
SYNTH0249	34	20	8	37	23	11	15	21	8	41	14	28	39	25	19	27	30	35	16
SYNTH0250	72	186	129	145	232	208	232	108	137	217	163	158	144	193	47	183	81	321	128
SYNTH0251	41	33	20	26	44	35	36	33	40	34	41	20	21	26	28	64	45	16	19
SYNTH0252	212	78	206	151	136	171	307	135	395	116	101	153	68	76	175	206	89	320	181
SYNTH0253	88	65	120	189	41	61	62	87	78	136	82	67	107	46	48	60	119	125	98
SYNTH0254	16	8	32	18	32	25	42	55	37	35	46	35	52	20	50	38	7	16	42
SYNTH0255	122	441	253	238	193	251	194	128	247	102	168	177	315	328	271	122	419	328	130
SYNTH0256	31	36	55	8	33	21	19	54	15	30	28	60	18	30	58	24	30	21	48
SYNTH0257	426	184	404	156	213	189	322	409	223	231	692	695	306	128	366	182	463	373	355
SYNTH0258	132	146	239	317	312	272	74	367	354	183	185	289	146	201	124	142	199	265	149
SYNTH0259	173	188	170	169	425	263	192	345	501	299	187	348	300	436	579	430	150	278	333
SYNTH0260	14	32	13	3	21	21	39	15	14	17	17	13	14	12	9	1	23	30	17
SYNTH0261	34	40	25	12	28	14	17	25	35	35	26	20	25	30	20	59	42	4	9
SYNTH0262	34	14	8	22	38	28	15	35	42	17	26	10	12	58	39	37	37	40	15
SYNTH0263	14	11	14	1	12	22	16	6	6	21	11	18	16	8	8	15	8	8	7
SYNTH0264	431	597	247	255	831	328	397	687	464	822	166	815	319	242	267	226	477	850	415
SYNTH0265	29	62	88	11	18	75	24	26	85	49	33	30	48	28	56	65	25	44	10
SYNTH0266	2	0	11	3	2	2	3	2	3	1	7	4	13	15	8	5	10	8	17
SYNTH0267	55	63	77	157	94	70	98	82	70	28	59	40	58	36	18	45	26	8	18
SYNTH0268	70	17	38	18	12	27	33	26	48	55	8	25	51	27	14	10	39	31	38
SYNTH0269	54	39	135	52	55	113	52	105	48	41	188	159	176	175	91	96	111	332	120
SYNTH0270	57	50	64	42	60	142	48	34	68	31	70	58	32	22	52	46	56	70	81
SYNTH0271	28	31	86	32	42	34	40	54	53	32	52	8	45	52	57	31	35	21	47
SYNTH0272	13	40	36	7	15	51	43	24	34	32	52	49	27	35	24	10	23	53	35
SYNTH0273	17	4	17	16	10	13	14	22	10	16	21	21	35	12	8	6	23	7	22
SYNTH0274	10	6	11	18	11	12	15	11	16	6	5	6	11	14	15	7	7	10	6
SYNTH0275	401	338	252	120	269	114	292	328	383	394	222	200	293	368	286	136	268	277	501
SYNTH0276	113	91	113	85	139	109	190	95	34	43	79	125	163	174	124	62	192	106	174
SYNTH0277	30	16	19	33	21	23	60	15	17	42	30	16	2	18	26	34	30	25	48
SYNTH0278	228	419	385	395	509	295	268	321	460	310	395	258	648	321	522	321	557	402	305
SYNTH0279	10	41	52	44	19	29	89	40	46	33	48	8	34	17	17	43	39	9	17
SYNTH0280	167	430	160	178	435	272	383	373	184	223	473	307	222	432	367	335	260	458	280
SYNTH0281	14	9	24	11	28	20	39	14	27	41	5	11	6	3	3	14	17	11	22
SYNTH0282	886	2269	1835	877	839	450	943	1018	1763	591	490	294	146	1004	541	373	327	134	271
SYNTH0283	242	125	97	173	137	138	65	125	110	286	193	145	286	105	205	118	178	235	97
SYNTH0284	191	76	69	103	129	86	71	81	102	129	168	191	63	74	102	92	207	77	203
SYNTH0285	15	16	5	22	13	10	8	23	9	10	15	8	16	23	19	19	9	7	25
SYNTH0286	18	8	7	26	16	42	14	22	51	32	30	15	4	23	9	5	21	12	34
SYNTH0287	38	34	41	19	40	20	34	27	39	18	20	27	28	17	37	24	29	31	25
SYNTH0288	13	6	8	10	6	10	0	8	21	13	21	13	14	9	10	8	14	12	20
SYNTH0289	168	33	118	167	69	230	109	106	45	83	47	137	73	98	145	81	208	51	140
SYNTH0290	72	119	21	53	53	102	65	68	110	56	153	82	38	44	94	126	24	44	75
SYNTH0291	152	48	284	177	62	304	288	221	214	178	258	333	374	297	85	95	508	196	214
SYNTH0292	91	65	57	95	85	86	69	29	79	54	79	100	23	31	85	65	37	45	49
SYNTH0293	6	6	6	12	5	7	5	14	3	10	7	17	2	4	18	13	5	10	7
SYNTH0294	97	190	135	110	203	200	161	75	171	148	111	122	158	123	53	301	55	113	106
SYNTH0295	169	147	148	250	217	138	71	93	111	401	610	671	429	516	293	421	303	543	409
SYNTH0296	19	15	6	6	1	15	10	14	18	15	14	18	5	6	9	29	9	18	0
SYNTH0297	595	213	772	430	325	542	330	351	180	482	495	867	459	150	369	372	380	379	481
SYNTH0298	90	108	142	23	133	47	56	46	73	47	20	168	126	61	54	59	33	112	157
SYNTH0299	34	98	47	51	68	53	71	64	71	95	30	38	62	67	96	98	66	64	85
SYNTH0300	12	18	14	17	36	18	17	6	37	12	9	13	21	38	17	25	8	5	2
SYNTH0301	258	649	254	372	537	446	484	154	288	482	578	419	324	439	110	224	391	327	279
SYNTH0302	7	40	27	15	27	60	20	27	34	32	19	18	27	32	39	25	13	32	33
SYNTH0303	22	24	25	37	32	32	5	11	36	17	17	23	24	9	32	18	22	17	26
SYNTH0304	119	42	75	43	76	48	61	83	102	127	12	27	32	16	30	29	27	26	15
SYNTH0305	305	413	455	551	271	471	242	206	251	283	566	351	359	449	572	537	543	426	505
SYNTH0306	685	483	528	647	171	703	555	483	122	510	373	1003	672	265	445	238	646	368	766
SYNTH0307	3	11	8	8	18	7	4	12	5	11	23	9	2	9	5	13	9	13	10
SYNTH0308	47	62	45	96	95	98	26	45	48	58	63	38	80	86	68	102	53	31	53
SYNTH0309	233	302	260	583	422	551	457	140	240	177	1071	237	443	470	712	275	351	471	502
SYNTH0310	404	166	377	400	245	148	239	343	325	174	456	332	367	309	161	127	294	282	173
SYNTH0311	54	49	53	50	105	120	26	87	43	39	41	22	32	51	48	76	14	76	45
SYNTH0312	140	81	136	313	238	98	129	154	168	127	51	89	109	85	186	122	147	229	263
SYNTH0313	262	242	512	417	365	103	263	84	418	324	403	422	357	430	438	258	366	99	572
SYNTH0314	150	58	290	111	86	110	92	187	61	110	319	263	738	316	371	274	378	249	473
SYNTH0315	33	58	35	37	42	40	43	24	20	19	40	36	28	17	78	29	60	53	60
SYNTH0316	26	46	55	51	61	34	58	82	55	94	78	39	42	43	57	38	35	53	23
SYNTH0317	24	29	37	43	22	31	13	43	11	27	45	29	21	31	27	17	25	46	20
SYNTH0318	44	73	55	80	114	69	73	24	37	38	64	71	41	33	117	57	72	53	107
SYNTH0319	10	40	19	38	13	14	16	13	13	21	17	27	14	4	23	8	16	32	25
SYNTH0320	95	168	100	136	85	94	135	68	142	162	143	136	84	116	195	75	185	185	170
SYNTH0321	209	312	232	175	263	357	137	128	151	400	278	576	250	523	248	356	389	184	70
SYNTH0322	57	138	199	56	129	136	216	179	136	218	108	184	151	49	68	335	226	74	263
SYNTH0323	38	9	27	8	11	28	25	24	21	40	23	24	29	16	9	14	16	21	20
SYNTH0324	284	181	149	248	130	303	347	247	224	207	312	229	189	195	315	153	192	316	232
SYNTH0325	78	34	55	87	26	46	104	29	46	64	64	40	38	66	30	61	67	82	118
SYNTH0326	29	21	14	25	15	26	45	32	28	34	89	15	11	13	86	38	71	29	28
SYNTH0327	295	591	755	722	270	387	711	221	312	370	330	297	451	479	515	376	446	438	562
SYNTH0328	35	49	60	31	55	57	39	58	68	71	66	97	65	56	52	51	4	46	63
SYNTH0329	15	6	21	13	10	11	2	10	11	7	15	14	0	3	3	13	8	0	15
SYNTH0330	393	354	319	562	247	377	216	242	348	268	409	316	261	318	313	313	654	252	588
SYNTH0331	20	18	40	36	61	34	26	52	11	52	34	40	42	16	27	22	31	27	33
SYNTH0332	442	616	343	459	283	454	799	442	486	539	488	360	118	625	638	500	383	172	681
SYNTH0333	173	273	143	179	109	163	159	137	218	264	220	146	173	58	108	246	134	119	71
SYNTH0334	836	338	415	409	477	1338	439	313	519	792	405	193	358	242	281	360	226	263	140
SYNTH0335	45	16	31	29	16	56	35	42	47	44	61	31	21	27	33	16	29	45	32
SYNTH0336	6	2	3	10	0	2	0	3	4	1	8	4	7	11	4	9	10	5	11
SYNTH0337	56	41	53	34	48	53	44	73	79	58	42	80	49	51	74	34	52	42	33
SYNTH0338	142	185	155	198	102	80	133	208	103	87	102	102	84	93	134	114	106	78	78
SYNTH0339	44	33	31	40	79	28	31	35	25	22	30	46	26	20	14	28	53	35	39
SYNTH0340	73	193	179	118	176	84	146	156	136	215	73	68	98	197	149	128	88	58	226
SYNTH0341	43	21	66	56	111	68	39	109	109	51	44	58	168	65	34	104	33	81	29
SYNTH0342	355	188	239	256	265	142	255	176	430	146	205	120	307	279	137	106	290	245	209
SYNTH0343	21	68	21	63	27	28	19	21	46	28	21	13	20	20	21	14	22	16	9
SYNTH0344	5	6	13	15	14	10	18	11	13	12	12	11	9	11	18	10	12	6	10
SYNTH0345	420	491	375	486	413	292	96	288	510	741	256	348	298	173	362	505	676	285	204
SYNTH0346	8	23	10	12	25	4	14	16	26	24	13	30	16	15	15	13	16	27	4
SYNTH0347	14	28	18	27	29	15	12	13	37	14	18	19	27	25	34	22	27	21	34
SYNTH0348	26	12	7	20	6	32	21	17	26	7	33	49	43	20	52	43	31	32	52
SYNTH0349	292	192	318	202	522	487	260	379	217	443	299	246	57	388	204	444	289	322	329
SYNTH0350	400	361	285	513	301	477	288	446	396	401	781	165	1002	68	378	482	288	346	307
SYNTH0351	21	6	6	10	1	5	8	15	9	16	7	6	1	11	19	11	14	12	9
SYNTH0352	250	120	200	246	187	138	348	228	35	251	280	389	242	236	209	150	93	182	206
SYNTH0353	273	747	410	289	573	569	426	865	487	550	402	584	327	385	330	154	596	320	951
SYNTH0354	11	17	10	18	14	12	24	9	8	14	8	17	12	19	4	5	24	7	6
SYNTH0355	101	106	48	53	131	89	94	68	31	32	65	97	109	55	67	96	66	55	117
SYNTH0356	183	208	102	377	146	219	224	176	296	213	107	293	381	135	232	110	160	368	240
SYNTH0357	251	1181	357	147	291	624	377	201	459	390	520	464	198	503	319	365	572	525	216
SYNTH0358	246	213	78	119	308	222	364	166	90	66	263	97	251	147	177	251	284	184	151
SYNTH0359	43	31	65	52	76	53	33	60	80	78	38	54	119	23	56	46	84	52	80
SYNTH0360	563	620	388	1216	457	287	418	447	596	805	303	585	144	370	720	394	781	407	412
SYNTH0361	10	41	57	25	66	38	82	25	39	27	33	72	57	79	46	13	18	16	62
SYNTH0362	59	66	108	95	131	72	155	147	129	62	49	77	60	66	167	98	107	121	57
SYNTH0363	298	157	130	71	150	163	229	217	136	238	42	62	137	458	188	151	182	175	204
SYNTH0364	210	306	440	213	195	313	229	349	215	681	423	329	454	236	366	397	204	337	115
SYNTH0365	0	10	2	2	0	6	5	1	2	2	9	20	7	9	6	24	8	7	3
SYNTH0366	798	597	460	337	227	520	614	599	728	510	450	318	483	546	499	681	375	437	120
SYNTH0367	310	200	317	222	177	444	331	245	464	425	259	451	423	336	427	294	176	282	324
SYNTH0368	15	15	14	21	6	7	17	14	21	21	22	10	7	11	15	22	28	28	23
SYNTH0369	12	20	32	9	21	7	16	20	3	9	10	17	5	7	11	28	3	17	14
SYNTH0370	93	42	138	89	69	132	22	96	125	47	66	103	69	45	93	72	146	61	36
SYNTH0371	270	85	192	96	430	653	221	188	196	71	217	64	332	180	312	210	183	119	356
SYNTH0372	11	19	7	2	14	12	8	24	9	15	26	17	12	5	13	15	22	12	20
SYNTH0373	25	28	6	24	27	29	24	23	28	29	26	42	49	52	30	11	26	24	37
SYNTH0374	13	14	8	14	8	12	5	4	18	16	18	7	4	8	5	6	9	4	6
SYNTH0375	23	19	14	35	49	37	26	4	49	71	32	33	99	31	37	47	19	42	46
SYNTH0376	33	16	21	26	49	14	37	14	29	28	15	35	24	36	17	16	12	20	27
SYNTH0377	202	214	299	245	231	162	332	274	222	61	120	125	342	177	130	180	145	149	299
SYNTH0378	32	24	18	23	35	32	49	31	138	72	13	10	3	7	10	14	21	13	15
SYNTH0379	45	91	37	43	29	38	86	82	75	75	53	33	74	50	45	76	27	26	64
SYNTH0380	40	83	30	33	52	19	24	36	40	64	48	38	28	61	37	15	16	41	37
SYNTH0381	113	316	200	157	131	193	141	148	146	83	177	188	146	123	143	190	149	129	116
SYNTH0382	13	14	14	13	8	9	12	13	18	19	11	12	11	22	9	5	15	10	20
SYNTH0383	107	65	77	76	71	195	57	105	72	152	104	55	116	158	112	101	101	83	127
SYNTH0384	49	94	85	82	69	122	137	67	67	115	93	153	141	59	75	153	165	107	71
SYNTH0385	31	55	40	41	79	49	55	47	40	58	33	21	47	61	30	29	40	33	62
SYNTH0386	447	116	392	303	127	228	484	112	264	337	139	290	157	180	159	508	137	217	477
SYNTH0387	28	43	63	71	35	59	44	23	106	84	106	49	127	206	103	367	85	131	132
SYNTH0388	8	12	27	23	12	6	15	6	13	13	11	14	19	24	26	8	18	24	9
SYNTH0389	7	6	4	4	13	8	9	10	11	10	24	29	10	16	29	13	9	23	20
SYNTH0390	87	72	25	60	111	45	58	67	119	66	82	94	76	70	130	97	54	79	70
SYNTH0391	44	62	58	100	39	39	37	42	74	37	44	71	126	135	72	146	196	62	116
SYNTH0392	20	49	84	59	32	49	49	34	24	96	52	63	16	25	36	48	12	81	32
SYNTH0393	14	23	25	21	17	4	17	25	17	17	15	10	11	11	15	16	23	17	15
SYNTH0394	212	72	91	56	157	251	346	119	126	117	142	273	145	315	162	91	194	88	368
SYNTH0395	232	160	172	180	183	138	127	290	198	110	182	107	283	135	187	125	196	476	150
SYNTH0396	90	174	286	207	161	99	182	121	174	265	270	375	221	230	186	485	287	124	387
SYNTH0397	52	22	19	54	34	42	34	34	30	66	22	39	43	74	38	22	41	59	26
SYNTH0398	25	15	35	14	20	11	6	14	32	13	26	21	33	28	28	14	19	15	6
SYNTH0399	83	95	62	57	47	110	96	59	50	40	110	60	88	41	48	60	36	29	38
SYNTH0400	386	304	138	554	514	163	392	155	259	294	270	295	290	363	612	427	238	429	234
SYNTH0401	36	37	11	11	27	20	24	9	10	13	13	12	31	7	11	25	26	7	40
SYNTH0402	19	27	65	25	36	31	76	62	28	18	43	25	36	42	35	23	38	19	29
SYNTH0403	666	503	1152	602	696	1491	376	1397	461	307	564	332	481	623	255	433	210	414	653
SYNTH0404	251	233	139	219	103	229	121	240	269	97	91	92	112	131	144	109	180	196	232
SYNTH0405	14	18	14	15	50	37	18	11	18	11	11	6	5	11	17	5	9	8	13
SYNTH0406	370	143	188	416	356	158	274	269	341	242	207	266	437	206	163	200	284	197	166
SYNTH0407	85	203	87	92	85	123	141	49	173	156	145	116	142	108	180	146	76	96	171
SYNTH0408	79	33	88	189	45	54	86	125	73	70	89	94	81	83	77	56	121	102	61
SYNTH0409	79	129	293	181	68	148	168	168	133	149	113	155	125	215	147	87	138	128	218
SYNTH0410	57	82	105	58	89	88	151	103	84	95	102	41	115	54	65	104	117	40	96
SYNTH0411	55	77	82	98	54	75	58	34	29	42	56	101	43	112	91	58	28	69	53
SYNTH0412	448	617	566	621	730	486	344	602	453	705	325	396	299	656	291	522	1002	494	540
SYNTH0413	47	74	40	67	72	117	53	98	97	83	67	95	39	84	72	96	110	78	137
SYNTH0414	218	191	51	251	176	214	245	247	123	95	87	97	196	109	155	197	195	151	140
SYNTH0415	105	46	70	108	40	90	50	66	49	52	53	78	33	90	46	46	94	51	68
SYNTH0416	229	251	134	201	125	145	238	464	254	480	313	431	387	55	420	202	321	273	121
SYNTH0417	148	111	39	82	38	54	10	130	32	59	73	194	76	63	125	88	87	154	72
SYNTH0418	69	119	86	92	95	97	71	163	57	105	147	70	95	50	128	93	224	135	84
SYNTH0419	8	12	19	15	18	22	21	12	13	18	14	15	12	25	18	16	12	13	8
SYNTH0420	8	12	13	13	20	16	10	10	12	12	13	11	8	12	9	17	11	12	15
SYNTH0421	297	317	174	62	203	148	74	214	128	117	88	168	273	108	158	207	101	114	211
SYNTH0422	70	124	64	41	36	94	35	125	26	64	147	197	196	267	333	353	189	106	259
SYNTH0423	14	7	11	18	21	10	10	17	9	21	24	20	28	29	44	25	22	23	22
SYNTH0424	525	374	445	270	333	556	295	286	213	304	314	261	250	170	467	309	455	212	474
SYNTH0425	45	22	17	38	46	15	14	18	18	9	22	28	24	27	48	24	38	8	20
SYNTH0426	3	18	12	9	10	13	7	16	4	20	10	17	21	16	11	7	33	15	14
SYNTH0427	322	229	238	346	409	623	204	226	234	201	204	384	121	358	307	587	322	185	278
SYNTH0428	221	198	66	271	97	250	115	180	153	140	135	81	51	281	99	169	169	260	119
SYNTH0429	160	199	164	31	101	79	146	200	64	101	45	129	106	54	127	144	163	186	229
SYNTH0430	49	19	30	22	21	32	28	15	53	26	24	38	29	11	25	23	37	29	33
SYNTH0431	47	25	13	18	24	12	23	16	8	15	23	60	26	58	20	43	40	54	29
SYNTH0432	249	411	229	101	119	58	195	44	168	173	616	217	290	178	428	530	597	291	447
SYNTH0433	23	18	16	16	28	28	20	17	37	20	68	56	29	37	53	14	54	79	55
SYNTH0434	22	101	42	42	42	62	81	127	65	59	30	47	69	14	62	62	69	43	40
SYNTH0435	3	8	9	4	13	7	9	8	12	7	9	5	11	11	7	20	11	0	16
SYNTH0436	63	81	42	56	22	37	59	45	75	55	48	45	67	81	85	75	70	24	64
SYNTH0437	17	18	18	19	28	24	19	17	32	37	18	8	28	29	7	12	21	16	14
SYNTH0438	742	1132	774	1010	849	495	1282	970	1342	778	781	298	743	418	692	271	392	257	522
SYNTH0439	91	298	108	50	190	104	270	94	160	126	237	138	100	283	193	162	114	61	97
SYNTH0440	12	14	28	25	6	13	28	31	10	17	28	28	47	40	15	34	56	71	69
SYNTH0441	220	49	323	160	326	246	256	194	205	125	389	100	345	154	157	167	476	165	161
SYNTH0442	41	22	38	53	65	58	12	75	34	90	55	32	35	13	52	34	39	47	31
SYNTH0443	521	337	608	716	1064	1028	283	447	557	361	386	271	226	194	237	239	252	328	147
SYNTH0444	58	84	41	46	68	59	63	28	36	56	15	19	23	7	16	28	12	16	10
SYNTH0445	37	27	30	32	19	25	74	20	22	40	56	21	10	45	18	38	25	53	58
SYNTH0446	507	727	579	469	364	339	308	505	489	374	603	718	197	842	425	447	358	493	514
SYNTH0447	446	528	311	410	340	266	468	516	383	264	299	298	261	522	381	514	368	617	649
SYNTH0448	37	7	23	14	18	14	15	15	25	10	67	30	55	65	81	94	40	48	116
SYNTH0449	215	494	237	204	276	166	146	350	322	322	281	212	194	191	329	264	251	243	145
SYNTH0450	108	123	123	89	172	127	155	73	70	113	35	107	91	61	56	40	84	71	101
SYNTH0451	84	40	85	93	62	97	33	65	27	45	26	17	16	45	30	30	23	35	17
SYNTH0452	46	18	43	33	38	50	77	50	43	40	46	38	61	28	9	33	53	80	30
SYNTH0453	47	23	47	69	26	37	32	43	46	61	129	118	79	58	89	146	100	122	123
SYNTH0454	3	11	4	4	7	5	3	6	7	8	6	6	8	5	4	8	9	11	4
SYNTH0455	439	467	473	377	493	256	452	267	598	200	396	531	342	301	601	216	424	155	369
SYNTH0456	71	97	49	114	19	66	59	58	41	108	88	93	43	44	37	73	117	38	84
SYNTH0457	4	12	5	10	18	3	10	16	11	5	4	5	11	14	18	8	15	7	11
SYNTH0458	28	49	43	36	41	35	55	36	49	87	55	66	79	65	38	75	81	50	35
SYNTH0459	52	119	56	72	52	89	78	96	114	59	60	57	74	64	33	48	101	50	56
SYNTH0460	79	109	142	149	115	117	124	65	114	64	236	121	239	305	330	142	279	216	241
SYNTH0461	145	168	218	140	119	235	164	70	91	57	69	220	137	139	202	75	208	148	53
SYNTH0462	112	76	98	92	73	138	101	95	49	99	67	80	68	98	123	60	123	48	31
SYNTH0463	4	9	6	8	23	8	9	19	11	11	29	15	21	32	10	14	13	17	27
SYNTH0464	48	32	46	41	68	99	58	69	42	101	46	53	42	51	55	91	86	55	54
SYNTH0465	106	57	54	61	89	85	46	105	152	54	45	64	119	145	74	67	83	65	190
SYNTH0466	114	71	65	35	91	57	59	74	42	127	147	59	50	89	53	51	38	84	40
SYNTH0467	15	9	11	10	4	19	11	12	5	8	16	6	6	25	6	8	13	27	5
SYNTH0468	40	30	54	77	34	73	31	26	30	45	68	48	52	43	18	26	38	47	33
SYNTH0469	56	22	24	44	77	96	43	49	80	61	87	132	46	233	54	72	64	49	135
SYNTH0470	4	17	13	19	32	19	34	17	13	22	48	23	27	25	21	8	21	27	15
SYNTH0471	20	12	17	18	21	18	18	8	13	8	18	16	23	17	9	11	17	26	16
SYNTH0472	334	237	208	188	128	157	234	139	100	93	154	249	103	213	162	275	71	143	194
SYNTH0473	132	139	119	305	258	75	59	116	133	174	200	399	404	552	441	198	398	395	192
SYNTH0474	111	175	171	105	179	121	226	62	107	141	102	39	65	85	112	35	71	55	57
SYNTH0475	150	396	73	336	433	306	126	167	313	360	261	469	142	148	186	315	394	332	355
SYNTH0476	17	19	32	15	27	16	15	22	18	11	11	4	16	20	11	7	17	14	16
SYNTH0477	144	268	93	188	200	117	43	173	187	141	130	278	82	118	56	167	95	282	99
SYNTH0478	546	231	246	400	359	191	275	409	425	700	166	554	228	419	566	635	331	547	480
SYNTH0479	0	19	17	22	21	30	24	12	26	11	23	14	17	9	26	48	17	22	33
SYNTH0480	19	23	43	7	64	27	58	56	38	67	56	60	18	60	42	34	72	27	24
SYNTH0481	11	16	35	38	23	29	38	32	24	47	20	17	35	36	28	13	16	12	16
SYNTH0482	41	19	44	35	44	52	51	36	37	25	35	70	54	86	28	68	48	55	37
SYNTH0483	405	1392	469	740	529	690	461	836	831	379	440	328	762	560	220	1049	343	631	418
SYNTH0484	23	28	22	18	23	22	20	27	44	11	33	22	19	8	6	18	23	37	16
SYNTH0485	364	381	609	739	401	851	297	451	524	320	282	317	478	304	366	676	685	203	490
SYNTH0486	83	99	73	59	81	85	100	78	48	129	74	46	84	82	19	20	54	36	64
SYNTH0487	18	14	16	8	8	6	5	14	3	8	12	10	8	0	6	13	15	13	13
SYNTH0488	79	62	109	75	49	53	95	121	43	40	84	30	49	111	90	57	69	39	74
SYNTH0489	23	19	17	41	23	36	10	39	38	37	32	28	27	29	51	30	16	43	25
SYNTH0490	10	8	10	13	18	27	21	6	13	12	23	22	15	10	13	8	6	11	21
SYNTH0491	23	15	25	21	9	20	12	15	6	30	11	17	19	21	10	20	9	6	0
SYNTH0492	14	32	40	14	20	11	18	10	5	26	9	24	19	27	17	10	7	4	16
SYNTH0493	199	176	257	157	260	227	356	218	248	171	146	116	213	197	219	155	339	122	159
SYNTH0494	43	64	98	159	79	88	60	69	64	115	107	119	47	77	68	90	115	56	81
SYNTH0495	155	126	182	152	151	82	143	153	173	208	109	123	124	86	135	106	193	178	62
SYNTH0496	557	328	464	489	130	206	184	409	280	259	207	160	347	451	332	155	123	239	150
SYNTH0497	166	91	167	50	106	104	128	123	158	316	57	68	149	73	104	43	67	69	56
SYNTH0498	710	321	411	555	327	273	516	489	655	277	434	274	185	571	484	363	227	639	518
SYNTH0499	165	204	333	410	252	301	318	460	472	306	453	277	419	476	275	797	240	350	265
