gene	studyA_case01	studyA_case02	studyA_case03	studyA_case04	studyA_case05	studyA_case06	studyA_case07	studyA_case08	studyA_ctrl01	studyA_ctrl02	studyA_ctrl03	studyA_ctrl04	studyA_ctrl05	studyA_ctrl06	studyA_ctrl07	studyA_ctrl08
SYNTH0249	16	43	40	22	31	12	18	35	27	31	19	42	16	17	10	25
SYNTH0250	165	140	212	153	96	230	141	160	239	174	121	185	29	300	122	86
SYNTH0251	39	33	15	16	49	26	52	15	57	47	37	22	21	39	26	34
SYNTH0252	180	141	32	81	115	117	131	114	79	97	115	108	176	95	121	125
SYNTH0253	67	165	57	32	65	84	85	76	18	62	40	69	52	26	51	75
SYNTH0254	21	46	38	15	32	26	48	31	39	20	46	25	22	15	57	31
SYNTH0255	215	224	159	118	126	217	152	158	77	77	254	251	100	127	214	468
SYNTH0256	37	17	13	10	27	64	18	29	62	24	24	35	23	27	31	30
SYNTH0257	259	459	362	253	418	183	254	274	383	104	100	244	316	349	420	285
SYNTH0258	149	115	138	165	182	177	139	122	240	174	209	146	136	166	259	206
SYNTH0259	198	315	239	281	188	128	221	218	163	200	258	252	599	193	318	77
SYNTH0260	18	4	11	9	4	15	13	4	18	6	17	9	14	7	14	7
SYNTH0261	25	36	12	16	15	22	23	23	5	12	35	34	16	24	25	25
SYNTH0262	26	50	18	12	10	14	19	35	32	12	21	22	22	11	23	20
SYNTH0263	5	12	5	14	9	11	13	16	7	7	6	16	7	14	5	8
SYNTH0264	396	807	452	756	397	497	500	495	384	137	210	652	391	434	406	474
SYNTH0265	18	63	32	42	16	28	39	12	27	17	31	35	72	28	19	48
SYNTH0266	3	4	3	2	4	0	7	3	7	11	11	2	3	7	6	4
SYNTH0267	46	42	73	132	169	75	36	67	33	23	33	28	44	16	11	25
SYNTH0268	40	24	39	11	26	19	22	41	23	25	17	30	22	20	25	26
SYNTH0269	22	32	56	21	18	58	52	35	122	84	91	50	109	97	56	125
SYNTH0270	17	109	24	34	41	81	15	58	42	74	71	12	44	19	38	58
SYNTH0271	31	35	22	35	44	69	29	16	38	59	44	33	20	42	63	27
SYNTH0272	47	18	47	44	52	21	56	20	38	21	21	21	40	24	21	10
SYNTH0273	7	20	5	8	10	34	11	16	10	13	6	12	13	10	13	10
SYNTH0274	9	7	2	8	15	12	4	8	13	26	12	11	9	3	8	10
SYNTH0275	249	162	186	221	114	462	492	339	323	185	237	86	441	279	332	252
SYNTH0276	56	131	26	112	92	180	77	90	42	172	93	149	50	30	37	51
SYNTH0277	16	38	36	60	39	14	49	20	41	15	36	29	25	34	17	16
SYNTH0278	583	239	537	135	545	367	333	216	525	360	362	425	309	205	437	174
SYNTH0279	14	23	49	17	30	43	30	39	35	26	24	15	41	18	18	15
SYNTH0280	70	158	301	155	250	218	132	158	278	242	290	209	208	534	371	445
SYNTH0281	16	17	27	33	20	8	12	27	14	6	7	12	5	6	0	13
SYNTH0282	753	643	1148	1349	1432	568	1126	1047	702	453	236	143	326	291	309	330
SYNTH0283	147	243	124	185	208	122	29	97	214	165	156	179	138	187	90	81
SYNTH0284	147	125	267	87	79	66	98	87	139	97	97	130	107	167	112	100
SYNTH0285	14	7	17	3	16	6	12	12	4	6	7	9	10	20	22	11
SYNTH0286	20	24	20	10	5	20	8	20	18	18	25	18	20	35	10	16
SYNTH0287	30	39	43	37	29	27	37	29	20	14	20	27	23	22	14	38
SYNTH0288	9	6	8	14	11	5	10	12	9	11	3	5	16	3	21	3
SYNTH0289	121	179	96	57	42	51	135	57	67	62	30	145	96	95	56	135
SYNTH0290	71	21	49	34	82	82	51	105	63	74	79	32	69	49	32	53
SYNTH0291	208	117	38	180	241	104	124	58	177	117	181	231	119	316	155	222
SYNTH0292	67	41	102	115	73	80	30	28	114	63	79	57	73	50	88	63
SYNTH0293	3	17	5	16	7	3	8	12	0	7	8	0	6	5	2	13
SYNTH0294	42	84	175	138	162	133	92	106	132	179	129	145	185	81	103	149
SYNTH0295	73	92	225	144	70	211	107	196	552	397	232	258	376	340	596	512
SYNTH0296	10	11	7	10	7	8	9	11	9	10	12	6	8	8	12	19
SYNTH0297	248	207	351	290	713	527	204	196	411	328	353	312	170	287	308	432
SYNTH0298	41	78	70	82	123	125	84	55	102	50	269	122	53	29	97	30
SYNTH0299	29	67	76	66	71	94	22	53	45	65	55	44	24	59	88	72
SYNTH0300	7	15	16	13	9	18	6	9	4	23	23	11	33	10	9	11
SYNTH0301	237	371	421	291	331	339	630	389	203	300	579	226	222	261	283	407
SYNTH0302	44	41	13	41	29	68	40	18	41	31	14	12	33	19	35	21
SYNTH0303	13	14	15	8	27	24	23	35	12	29	33	22	27	23	26	22
SYNTH0304	88	79	58	53	87	46	35	52	31	46	53	26	43	23	14	31
SYNTH0305	368	425	733	308	905	139	386	156	372	380	143	233	127	251	299	331
SYNTH0306	186	237	570	493	242	452	772	939	243	340	497	112	303	412	516	156
SYNTH0307	5	10	16	8	19	10	14	17	2	9	11	4	9	9	5	9
SYNTH0308	30	67	91	22	88	56	30	58	62	26	70	39	67	74	66	37
SYNTH0309	223	502	509	271	443	716	317	122	334	393	277	364	310	226	463	205
SYNTH0310	214	168	290	309	351	298	254	227	344	440	227	199	189	126	217	283
SYNTH0311	46	26	72	53	39	24	95	80	32	17	61	73	74	86	84	47
SYNTH0312	130	183	152	226	123	134	114	324	114	47	107	106	130	165	152	48
SYNTH0313	415	214	443	121	287	167	294	345	227	499	179	450	654	222	231	358
SYNTH0314	78	87	90	50	191	88	153	66	352	474	291	233	432	180	684	207
SYNTH0315	40	17	32	13	25	23	39	15	17	33	29	39	36	12	16	20
SYNTH0316	34	46	54	38	61	50	41	27	41	37	33	45	62	43	62	31
SYNTH0317	23	34	24	21	12	18	61	38	14	6	27	20	16	31	15	25
SYNTH0318	68	50	80	35	48	61	90	53	35	20	69	37	39	87	62	49
SYNTH0319	22	1	24	14	28	6	17	7	9	14	8	20	13	10	7	21
SYNTH0320	75	15	61	108	107	21	87	204	65	111	91	59	18	78	89	63
SYNTH0321	121	325	358	113	114	232	223	401	232	128	327	326	438	452	266	138
SYNTH0322	102	122	215	85	73	129	71	207	117	161	83	192	131	56	63	53
SYNTH0323	8	8	17	19	6	20	25	8	22	21	24	12	18	23	17	18
SYNTH0324	209	160	245	110	210	198	148	236	162	401	191	119	116	316	148	169
SYNTH0325	44	52	58	34	43	40	21	14	78	32	100	25	18	57	34	37
SYNTH0326	12	18	3	24	14	13	15	12	72	67	14	24	58	47	33	37
SYNTH0327	467	459	625	388	493	252	521	619	208	487	459	167	213	256	493	225
SYNTH0328	29	71	60	30	89	34	40	40	74	73	47	55	51	64	46	37
SYNTH0329	2	2	5	5	8	3	8	6	1	3	14	2	11	12	6	10
SYNTH0330	369	470	291	190	277	250	219	228	172	276	394	387	420	286	212	321
SYNTH0331	32	22	28	8	38	27	34	44	14	34	40	23	22	29	17	45
SYNTH0332	507	814	268	516	356	520	610	599	432	481	440	381	503	354	469	382
SYNTH0333	121	122	115	95	139	148	113	107	166	141	164	170	307	96	258	134
SYNTH0334	311	573	220	943	176	765	408	566	241	183	239	273	190	172	262	58
SYNTH0335	41	10	14	24	46	33	25	29	25	49	66	29	18	12	17	43
SYNTH0336	3	3	4	4	2	5	1	3	12	13	11	12	11	4	13	5
SYNTH0337	41	47	35	73	33	37	29	24	23	99	25	35	93	39	41	26
SYNTH0338	62	81	122	100	33	44	49	76	62	42	96	55	101	109	68	177
SYNTH0339	51	26	39	34	11	22	22	22	19	44	13	22	19	17	46	10
SYNTH0340	77	72	107	21	79	129	179	132	154	186	68	219	168	37	132	38
SYNTH0341	70	40	33	49	46	70	83	89	55	83	41	59	43	47	43	71
SYNTH0342	168	306	189	237	173	94	201	167	131	60	256	152	99	206	381	126
SYNTH0343	36	18	17	18	24	52	37	32	8	15	14	16	6	11	26	10
SYNTH0344	5	24	19	27	10	4	10	10	11	6	3	16	5	8	11	19
SYNTH0345	354	162	295	462	540	411	451	449	134	708	279	295	655	352	337	677
SYNTH0346	12	11	22	9	3	16	9	21	12	18	12	5	12	10	16	11
SYNTH0347	10	20	7	23	19	28	40	21	15	23	22	32	37	22	36	27
SYNTH0348	12	15	13	19	3	11	20	19	27	46	15	30	24	62	47	31
SYNTH0349	181	191	426	128	343	225	229	369	199	149	123	326	262	243	235	195
SYNTH0350	345	477	285	262	292	310	421	163	335	427	242	359	434	305	298	430
SYNTH0351	14	11	6	11	20	7	8	3	8	13	0	7	6	11	4	5
SYNTH0352	228	283	289	179	169	104	272	170	392	194	154	112	80	160	321	111
SYNTH0353	198	531	218	341	569	297	449	405	576	396	618	709	611	313	202	455
SYNTH0354	21	16	17	6	7	10	21	11	16	11	9	28	14	7	13	15
SYNTH0355	51	40	30	29	100	84	35	112	43	100	80	91	31	49	39	47
SYNTH0356	240	88	408	219	197	442	220	251	240	389	229	346	215	154	250	198
SYNTH0357	621	717	485	345	655	342	339	208	318	284	232	566	460	271	694	190
SYNTH0358	106	209	331	225	155	162	163	158	203	272	117	243	293	64	358	146
SYNTH0359	29	103	89	83	32	59	63	76	67	31	45	46	54	63	66	92
SYNTH0360	342	344	597	624	317	440	838	629	690	712	98	172	328	305	640	535
SYNTH0361	25	25	34	34	33	31	36	14	29	14	31	24	44	17	26	17
SYNTH0362	155	145	103	122	77	30	49	283	142	59	146	134	75	50	71	74
SYNTH0363	212	196	175	223	89	238	221	174	166	132	59	307	61	231	97	138
SYNTH0364	268	325	177	242	369	202	230	275	307	109	315	350	471	241	462	320
SYNTH0365	0	4	0	3	5	7	0	2	3	3	7	5	15	3	6	10
SYNTH0366	404	450	309	259	292	350	712	294	544	198	125	727	294	684	433	728
SYNTH0367	264	193	316	149	340	386	238	162	229	139	139	324	201	359	410	269
SYNTH0368	11	7	21	13	7	16	6	21	20	19	5	21	1	12	17	21
SYNTH0369	5	8	6	8	20	16	1	14	10	8	15	16	5	8	12	3
SYNTH0370	77	56	83	34	72	109	52	46	110	49	50	73	35	48	54	144
SYNTH0371	133	344	190	156	179	174	126	166	173	114	222	127	265	162	155	158
SYNTH0372	14	10	4	6	7	32	13	23	13	8	6	5	25	13	5	9
SYNTH0373	23	23	31	16	45	26	21	19	41	1	10	46	9	28	24	28
SYNTH0374	12	9	5	8	3	11	7	4	7	14	13	5	1	7	8	3
SYNTH0375	14	60	32	34	34	32	32	46	20	17	14	33	23	40	33	21
SYNTH0376	9	11	13	19	19	20	15	20	15	12	14	15	16	15	24	13
SYNTH0377	321	154	60	157	243	172	97	205	138	89	236	144	405	111	93	209
SYNTH0378	25	47	44	33	25	28	20	20	20	4	18	12	12	10	8	0
SYNTH0379	59	23	66	67	32	43	36	86	67	40	86	30	117	59	49	90
SYNTH0380	32	39	39	48	25	16	17	33	41	79	55	39	52	46	86	34
SYNTH0381	183	63	50	106	136	93	213	132	63	65	88	138	184	103	66	111
SYNTH0382	9	8	21	12	8	17	5	14	14	6	20	13	5	3	19	11
SYNTH0383	160	86	123	94	38	83	66	105	47	148	81	70	83	50	60	65
SYNTH0384	65	201	53	57	115	42	56	102	117	123	87	48	99	83	33	148
SYNTH0385	32	30	38	60	50	24	29	43	22	21	46	35	49	29	51	34
SYNTH0386	317	127	89	228	222	104	259	333	294	307	210	190	275	348	211	161
SYNTH0387	53	21	63	72	32	74	31	44	94	110	195	125	181	100	132	137
SYNTH0388	5	14	14	7	16	7	10	5	15	17	15	20	10	2	8	10
SYNTH0389	5	3	5	12	11	5	3	3	7	27	37	16	18	30	16	26
SYNTH0390	45	46	31	110	38	68	57	126	52	42	135	76	65	56	91	46
SYNTH0391	23	85	32	44	12	7	29	29	97	53	98	141	97	132	138	135
SYNTH0392	17	19	33	34	36	48	21	25	38	44	20	28	44	35	30	41
SYNTH0393	15	7	21	7	20	23	16	22	27	14	20	31	16	32	4	28
SYNTH0394	288	99	56	146	174	323	241	113	44	148	139	113	100	222	109	150
SYNTH0395	137	151	240	174	148	121	65	101	214	115	214	172	286	194	212	120
SYNTH0396	82	101	323	272	141	215	131	372	223	206	182	156	332	401	142	93
SYNTH0397	41	45	32	35	22	60	39	11	18	32	23	24	22	8	29	23
SYNTH0398	15	20	21	6	5	13	10	5	10	14	12	30	20	21	3	17
SYNTH0399	68	63	76	47	74	24	93	59	38	58	33	59	42	64	107	58
SYNTH0400	275	394	186	238	240	234	362	403	168	381	174	533	275	181	295	339
SYNTH0401	8	18	6	12	10	17	10	13	8	9	27	3	13	18	12	5
SYNTH0402	47	10	48	45	27	20	46	31	24	37	38	18	26	9	39	20
SYNTH0403	1277	541	732	837	596	650	1373	1034	400	245	257	408	234	118	167	661
SYNTH0404	161	92	99	113	161	61	275	248	112	121	179	99	167	105	115	153
SYNTH0405	3	13	10	7	13	7	25	6	8	5	9	2	3	5	10	14
SYNTH0406	300	270	259	310	189	607	102	341	257	216	247	119	165	197	254	234
SYNTH0407	72	65	118	70	107	45	46	143	117	67	81	117	100	103	98	87
SYNTH0408	94	116	87	69	54	124	72	71	75	86	41	65	63	26	95	169
SYNTH0409	62	60	78	139	55	119	166	214	242	108	121	96	75	158	161	189
SYNTH0410	91	59	46	18	151	109	59	101	59	67	59	52	103	113	27	124
SYNTH0411	65	54	34	40	39	28	100	16	38	16	46	23	41	76	21	3
SYNTH0412	424	788	155	230	292	700	371	520	337	426	544	367	131	416	556	177
SYNTH0413	151	65	34	86	53	52	21	101	97	37	117	26	35	115	83	123
SYNTH0414	82	49	43	86	174	61	63	74	176	106	102	136	178	47	46	133
SYNTH0415	48	18	113	45	37	72	26	75	74	28	52	56	32	69	54	62
SYNTH0416	300	163	234	365	195	161	205	269	171	339	271	221	119	125	178	270
SYNTH0417	104	133	121	64	90	95	59	58	64	149	124	54	32	112	75	52
SYNTH0418	119	55	129	129	42	54	44	117	108	111	100	84	100	51	35	95
SYNTH0419	8	2	7	10	21	8	20	0	17	6	10	10	10	11	16	7
SYNTH0420	4	21	28	23	22	3	9	16	23	2	14	7	10	16	3	9
SYNTH0421	127	184	246	141	120	172	94	275	164	106	147	55	121	63	184	72
SYNTH0422	42	105	101	138	28	112	83	52	132	80	278	167	167	260	237	200
SYNTH0423	6	7	6	12	5	4	7	3	37	9	14	13	19	3	45	28
SYNTH0424	51	325	350	245	534	240	419	245	377	172	229	624	135	222	356	230
SYNTH0425	28	5	11	41	25	35	30	30	31	17	24	8	4	13	15	13
SYNTH0426	13	15	10	13	11	0	10	12	12	2	9	17	11	14	18	19
SYNTH0427	159	241	296	240	199	337	200	177	212	347	62	189	267	188	202	205
SYNTH0428	278	83	163	185	78	153	191	88	137	141	166	116	77	83	96	136
SYNTH0429	82	144	78	78	115	72	177	44	99	96	96	96	88	103	91	90
SYNTH0430	27	31	17	8	39	33	28	29	8	31	37	26	16	25	19	30
SYNTH0431	16	16	35	7	11	13	31	23	24	49	77	19	42	26	59	31
SYNTH0432	239	120	197	139	66	147	144	125	248	216	161	410	247	315	128	231
SYNTH0433	15	38	4	21	14	5	21	15	33	100	61	47	62	23	34	38
SYNTH0434	59	43	49	43	33	47	13	27	26	66	27	31	53	16	50	39
SYNTH0435	7	1	4	5	5	10	13	8	8	5	6	7	5	8	4	9
SYNTH0436	66	85	23	27	61	38	11	25	62	42	42	66	56	37	99	34
SYNTH0437	17	19	6	9	16	18	11	8	17	23	10	13	10	11	11	9
SYNTH0438	533	477	405	508	688	581	880	867	355	526	322	398	230	156	353	279
SYNTH0439	155	178	100	116	114	164	163	123	227	115	140	105	126	140	113	153
SYNTH0440	13	26	23	16	8	18	10	22	46	40	24	45	31	44	16	40
SYNTH0441	268	320	409	270	231	189	220	478	246	176	338	408	301	157	72	253
SYNTH0442	49	37	30	43	39	35	20	15	31	33	38	49	44	36	23	62
SYNTH0443	416	362	354	624	664	516	603	456	188	141	169	256	102	284	257	200
SYNTH0444	24	29	47	27	38	49	25	41	14	9	24	25	10	18	15	14
SYNTH0445	24	9	30	29	25	24	31	29	13	30	20	38	42	22	21	21
SYNTH0446	428	342	576	833	321	452	228	788	193	200	170	512	111	679	371	252
SYNTH0447	391	395	595	478	371	289	140	187	552	929	467	318	390	145	593	448
SYNTH0448	18	25	23	10	11	19	17	12	51	28	29	75	23	53	40	52
SYNTH0449	153	54	127	293	245	233	137	103	249	252	339	131	154	153	90	253
SYNTH0450	54	63	83	68	39	30	105	35	72	74	68	67	44	40	38	41
SYNTH0451	28	56	16	66	52	39	71	58	8	9	30	28	32	26	20	21
SYNTH0452	58	25	44	111	16	19	40	20	39	19	31	50	57	25	57	25
SYNTH0453	53	47	54	11	30	46	35	12	121	48	162	108	97	76	151	126
SYNTH0454	7	13	6	5	6	8	5	7	5	4	4	10	10	7	10	11
SYNTH0455	545	310	292	337	250	234	323	81	446	464	233	316	158	315	265	204
SYNTH0456	32	25	76	38	135	41	51	51	42	33	17	37	93	57	67	42
SYNTH0457	11	10	4	7	11	5	7	19	7	21	18	0	7	10	16	12
SYNTH0458	66	39	23	53	50	48	42	50	22	30	37	29	42	30	60	17
SYNTH0459	67	106	43	56	49	36	35	110	47	47	28	69	46	62	92	66
SYNTH0460	72	58	85	73	105	114	96	95	161	313	222	115	314	242	190	138
SYNTH0461	142	109	293	141	123	79	49	71	189	98	82	224	81	98	126	189
SYNTH0462	66	107	103	51	49	44	44	100	87	115	78	88	47	42	49	92
SYNTH0463	9	7	6	3	11	5	8	8	15	17	11	10	15	9	9	9
SYNTH0464	43	59	30	71	22	35	119	21	41	44	47	56	43	72	61	31
SYNTH0465	44	62	96	57	38	44	86	100	53	71	55	92	59	63	34	72
SYNTH0466	86	33	60	42	80	32	79	42	24	9	54	55	46	83	34	63
SYNTH0467	25	5	4	15	16	7	11	15	17	5	7	26	13	10	9	0
SYNTH0468	35	24	21	36	28	68	39	12	30	50	73	50	48	17	49	37
SYNTH0469	87	85	69	34	132	49	59	46	65	50	76	77	75	88	39	37
SYNTH0470	22	29	15	25	11	31	16	19	14	23	32	12	17	26	25	35
SYNTH0471	22	19	14	6	6	10	10	21	19	17	15	7	37	19	21	15
SYNTH0472	88	109	55	145	127	103	158	233	73	131	177	169	87	107	109	138
SYNTH0473	108	167	190	123	113	44	237	159	500	323	166	146	255	300	248	134
SYNTH0474	131	113	102	104	147	41	227	114	75	42	18	50	91	45	44	25
SYNTH0475	215	164	362	207	174	186	166	298	313	174	122	470	230	238	228	328
SYNTH0476	9	12	9	12	19	13	8	10	23	9	6	16	2	12	5	5
SYNTH0477	166	189	233	170	110	174	150	122	96	93	168	97	63	241	146	92
SYNTH0478	356	162	323	366	148	476	321	380	209	349	148	424	189	377	231	212
SYNTH0479	7	35	19	8	17	6	10	41	25	18	18	9	32	18	17	30
SYNTH0480	17	19	20	42	23	23	29	45	20	34	42	39	12	35	25	27
SYNTH0481	13	26	22	21	11	19	36	12	18	25	6	27	37	17	15	11
SYNTH0482	6	45	31	45	40	34	60	32	34	24	28	45	37	25	32	41
SYNTH0483	304	269	455	784	319	623	480	553	336	542	267	633	469	286	468	633
SYNTH0484	4	15	25	12	6	3	15	20	15	19	17	25	13	18	12	24
SYNTH0485	458	473	558	151	218	434	451	160	731	536	544	311	321	195	507	428
SYNTH0486	83	80	41	65	76	87	153	33	39	45	58	43	29	42	19	35
SYNTH0487	5	9	8	10	0	4	8	10	11	8	3	8	13	9	9	1
SYNTH0488	49	87	23	41	54	117	58	66	106	60	59	60	60	44	67	97
SYNTH0489	22	35	12	22	22	30	21	19	28	22	33	27	10	20	14	11
SYNTH0490	0	6	23	9	8	7	8	15	23	13	16	19	27	13	4	18
SYNTH0491	9	12	15	8	9	7	7	15	11	13	17	34	10	16	10	8
SYNTH0492	12	19	13	6	33	17	8	10	15	10	13	13	9	20	26	11
SYNTH0493	69	108	109	184	209	107	88	132	94	200	155	97	101	139	71	195
SYNTH0494	29	38	102	130	113	60	55	42	72	32	103	63	52	31	60	32
SYNTH0495	203	209	122	80	177	175	163	144	185	193	124	242	219	343	125	126
SYNTH0496	176	184	348	321	309	345	594	448	417	469	480	185	186	93	438	242
SYNTH0497	150	92	168	123	125	69	240	117	100	80	55	43	77	62	46	93
SYNTH0498	464	502	344	407	465	355	164	256	588	502	296	307	472	361	671	176
SYNTH0499	352	491	341	468	490	198	395	322	166	329	572	233	273	193	316	229
