gene	studyB_case01	studyB_case02	studyB_case03	studyB_case04	studyB_case05	studyB_case06	studyB_ctrl01	studyB_ctrl02	studyB_ctrl03	studyB_ctrl04	studyB_ctrl05	studyB_ctrl06	studyB_ctrl07
SYNTH0311	45	71	29	81	50	119	78	62	35	147	84	80	53
SYNTH0312	254	269	162	167	140	195	336	269	237	339	315	124	378
SYNTH0313	813	541	211	931	231	627	196	185	686	122	395	1033	354
SYNTH0314	454	142	149	74	50	175	436	390	493	526	405	425	791
SYNTH0315	43	26	13	7	52	32	66	39	51	30	24	29	44
SYNTH0316	43	19	36	95	76	141	31	85	99	81	33	37	96
SYNTH0317	27	11	21	32	27	40	27	43	31	15	32	33	25
SYNTH0318	16	116	37	71	88	74	70	80	89	105	126	51	31
SYNTH0319	12	24	42	17	18	25	17	15	43	12	7	6	11
SYNTH0320	118	273	163	102	181	168	36	81	229	208	178	112	295
SYNTH0321	294	613	237	378	456	346	515	617	398	372	429	364	448
SYNTH0322	216	180	153	243	123	215	116	96	215	262	66	110	96
SYNTH0323	17	13	53	17	22	29	42	14	15	24	13	33	15
SYNTH0324	251	203	303	462	229	75	292	289	226	210	409	223	183
SYNTH0325	21	73	75	30	99	52	89	87	80	75	113	63	46
SYNTH0326	10	36	20	27	30	33	31	119	87	91	52	127	114
SYNTH0327	918	590	563	960	268	816	982	731	622	422	506	849	605
SYNTH0328	70	94	38	59	57	56	80	80	80	68	81	46	25
SYNTH0329	17	37	19	9	16	17	10	13	12	18	9	17	18
SYNTH0330	582	464	290	199	246	303	614	473	471	293	356	523	432
SYNTH0331	84	13	30	86	56	56	75	46	49	35	88	62	52
SYNTH0332	318	296	337	1056	659	344	853	694	734	1590	494	1299	979
SYNTH0333	232	145	116	216	129	245	245	150	275	204	256	279	74
SYNTH0334	1455	841	990	393	529	1567	383	215	434	247	286	130	204
SYNTH0335	42	17	41	73	53	74	42	37	87	37	19	36	42
SYNTH0336	3	1	2	5	8	3	7	10	15	3	22	16	18
SYNTH0337	35	63	86	92	21	50	56	88	68	86	103	92	50
SYNTH0338	104	94	162	89	146	79	114	190	136	143	115	114	170
SYNTH0339	87	47	24	45	50	70	38	64	66	68	45	92	40
SYNTH0340	191	257	141	250	168	260	305	166	192	197	119	173	88
SYNTH0341	63	36	46	98	68	45	33	72	60	132	68	80	113
SYNTH0342	215	448	342	157	320	147	155	307	243	401	192	237	399
SYNTH0343	87	33	58	36	75	29	29	7	37	14	9	10	24
SYNTH0344	13	20	15	11	10	9	11	22	19	17	11	10	30
SYNTH0345	471	553	881	732	241	632	335	405	126	477	450	483	656
SYNTH0346	26	8	31	7	13	10	49	25	19	9	4	24	27
SYNTH0347	47	32	22	22	19	23	56	14	13	49	20	33	14
SYNTH0348	38	40	39	21	27	22	85	54	53	24	85	114	42
SYNTH0349	270	627	269	723	885	331	409	343	400	172	430	423	375
SYNTH0350	718	435	196	405	373	807	409	500	350	1211	355	444	687
SYNTH0351	31	9	21	13	5	13	22	4	15	12	17	36	7
SYNTH0352	311	185	654	398	219	174	191	168	433	257	161	235	273
SYNTH0353	798	1144	692	941	375	955	397	587	538	315	584	496	1039
SYNTH0354	4	37	20	24	23	8	9	16	28	12	21	25	25
SYNTH0355	109	132	132	259	95	47	104	166	99	74	124	35	91
SYNTH0356	451	521	230	195	625	332	155	340	282	236	162	367	189
SYNTH0357	182	720	469	333	465	535	811	1224	543	840	976	492	562
SYNTH0358	382	503	254	161	202	278	272	359	318	265	159	207	181
SYNTH0359	153	114	99	73	66	60	60	144	123	43	126	74	134
SYNTH0360	419	669	398	1001	775	331	730	595	544	535	663	890	949
SYNTH0361	87	57	57	46	44	51	40	20	21	34	38	53	69
SYNTH0362	141	196	57	133	172	248	136	187	127	37	147	89	97
SYNTH0363	285	339	82	282	279	271	267	361	156	213	540	325	239
SYNTH0364	287	333	454	443	494	562	415	365	538	395	294	485	562
SYNTH0365	7	7	7	13	5	5	3	7	10	11	11	15	14
SYNTH0366	894	880	545	606	452	303	432	862	432	255	1123	779	421
SYNTH0367	239	511	357	702	289	268	698	357	356	354	248	859	578
SYNTH0368	32	24	40	18	15	15	22	28	16	7	14	23	26
SYNTH0369	10	28	14	11	21	7	8	31	9	11	15	14	7
SYNTH0370	88	112	51	83	76	83	48	137	31	177	104	128	77
SYNTH0371	219	187	387	372	260	129	154	253	114	355	259	137	214
SYNTH0372	59	21	14	16	19	21	26	14	22	21	16	16	25
SYNTH0373	38	39	42	26	38	25	46	45	34	40	21	22	26
SYNTH0374	6	16	2	12	6	5	2	14	11	13	6	16	21
SYNTH0375	35	12	40	28	40	79	22	53	25	25	18	70	38
SYNTH0376	28	49	45	24	26	19	15	18	24	32	35	24	28
SYNTH0377	161	170	405	403	183	340	156	270	249	213	379	271	237
SYNTH0378	68	35	18	69	38	30	41	20	38	18	19	7	22
SYNTH0379	66	57	96	144	68	45	139	47	101	64	132	121	55
SYNTH0380	72	53	27	90	64	55	59	19	61	62	98	63	69
SYNTH0381	124	126	330	140	195	258	167	77	241	125	135	155	157
SYNTH0382	14	26	22	27	21	24	15	35	22	12	20	23	8
SYNTH0383	160	96	97	139	205	90	159	121	71	32	197	178	336
SYNTH0384	32	308	311	116	280	81	74	128	204	62	96	192	100
SYNTH0385	27	35	72	41	41	70	54	33	33	60	83	57	34
SYNTH0386	454	219	341	300	613	311	646	259	416	385	381	321	706
SYNTH0387	65	101	88	116	25	77	274	180	87	148	262	155	192
SYNTH0388	17	15	21	24	18	26	3	20	13	13	14	18	14
SYNTH0389	10	4	10	23	8	10	28	30	30	59	18	8	13
SYNTH0390	159	213	133	149	73	130	121	90	70	104	132	183	85
SYNTH0391	25	77	59	85	76	71	122	135	223	231	152	261	112
SYNTH0392	51	67	26	59	69	48	32	37	59	78	50	105	69
SYNTH0393	17	18	11	16	22	36	20	15	33	49	21	37	13
SYNTH0394	420	326	110	314	353	334	439	195	290	361	344	251	324
SYNTH0395	137	78	167	240	173	174	244	278	285	216	392	336	269
SYNTH0396	394	353	426	357	708	245	693	332	299	405	196	490	503
SYNTH0397	18	16	65	33	43	57	64	31	53	58	17	44	79
SYNTH0398	25	24	7	13	18	41	20	23	29	5	15	21	29
SYNTH0399	56	72	76	104	108	75	114	54	102	82	27	77	97
SYNTH0400	260	393	283	498	504	838	207	536	419	411	248	123	295
SYNTH0401	13	26	38	15	28	20	39	43	28	19	12	31	18
SYNTH0402	60	54	100	42	43	47	70	42	72	80	30	44	36
SYNTH0403	1400	582	706	1697	1542	1936	238	766	535	334	453	305	313
SYNTH0404	543	574	259	220	220	140	210	267	104	119	120	274	318
SYNTH0405	19	9	28	16	18	48	10	11	8	12	11	19	23
SYNTH0406	186	409	402	231	269	535	366	354	231	397	222	336	380
SYNTH0407	93	157	252	131	129	76	126	111	189	81	229	200	117
SYNTH0408	76	71	29	88	251	139	68	51	50	154	112	98	114
SYNTH0409	192	105	184	136	115	115	66	172	319	70	195	149	170
SYNTH0410	95	120	192	125	152	74	48	96	91	130	73	79	123
SYNTH0411	127	195	72	54	51	80	121	51	123	86	91	77	81
SYNTH0412	407	818	277	199	372	1148	480	322	669	1212	437	432	579
SYNTH0413	70	103	110	90	76	80	141	139	73	112	140	166	121
SYNTH0414	117	154	178	110	252	150	194	175	145	332	135	239	156
SYNTH0415	48	69	89	126	38	64	57	54	122	70	94	161	92
SYNTH0416	378	102	266	236	296	372	381	101	217	234	285	311	314
SYNTH0417	162	160	109	120	111	65	72	208	157	108	102	92	159
SYNTH0418	103	100	201	132	48	184	99	146	289	97	239	102	193
SYNTH0419	30	25	13	20	21	12	16	11	15	2	21	15	17
SYNTH0420	11	5	8	32	42	10	10	28	20	5	43	37	22
SYNTH0421	403	288	161	121	195	175	191	78	140	167	104	353	174
SYNTH0422	79	200	80	48	152	56	179	225	216	53	332	217	447
SYNTH0423	11	17	21	14	10	11	18	40	33	34	24	48	31
SYNTH0424	441	256	557	214	254	328	389	705	412	408	541	326	464
SYNTH0425	23	19	34	25	42	17	37	25	26	35	27	31	20
SYNTH0426	26	28	5	18	16	33	10	12	17	25	31	10	16
SYNTH0427	278	252	571	599	184	255	304	178	469	478	310	594	199
SYNTH0428	246	428	264	172	181	167	208	152	237	189	202	110	70
SYNTH0429	142	102	272	107	139	360	131	80	129	190	153	359	87
SYNTH0430	34	24	55	68	45	33	39	29	20	30	36	71	22
SYNTH0431	16	26	24	31	32	20	35	38	32	38	54	96	75
SYNTH0432	264	358	253	153	176	204	823	470	686	438	312	323	349
SYNTH0433	20	35	29	58	10	20	69	45	30	56	50	77	46
SYNTH0434	87	94	106	165	20	78	33	77	90	107	110	43	72
SYNTH0435	10	17	11	13	9	3	8	12	10	8	5	14	14
SYNTH0436	51	90	66	57	68	58	73	55	41	122	38	52	98
SYNTH0437	27	44	23	26	33	17	13	16	39	22	19	23	13
SYNTH0438	385	828	573	726	1365	1526	358	470	762	562	581	416	403
SYNTH0439	207	184	182	147	143	185	150	138	348	175	232	256	107
SYNTH0440	26	27	20	19	62	27	61	49	51	114	57	32	66
SYNTH0441	606	363	151	718	542	527	233	290	376	326	285	286	226
SYNTH0442	48	58	43	25	25	36	63	65	38	50	43	57	50
SYNTH0443	1353	910	1287	623	863	623	282	611	402	287	289	130	377
SYNTH0444	61	63	78	111	162	37	38	23	22	19	36	31	48
SYNTH0445	30	74	49	31	11	66	11	33	57	47	16	19	38
SYNTH0446	347	453	608	357	378	795	514	774	651	551	494	745	602
SYNTH0447	366	962	815	401	316	469	338	726	635	372	481	475	503
SYNTH0448	32	22	33	43	21	27	54	58	61	52	119	32	29
SYNTH0449	367	185	205	520	463	322	158	129	246	241	153	404	230
SYNTH0450	52	191	121	53	32	170	73	42	92	60	44	167	154
SYNTH0451	89	82	59	97	75	93	33	26	32	45	19	28	21
SYNTH0452	56	49	88	65	82	21	29	42	28	130	58	39	46
SYNTH0453	72	66	58	58	68	59	184	81	86	123	168	157	168
SYNTH0454	22	8	8	13	5	18	9	12	5	8	12	18	8
SYNTH0455	357	575	426	951	495	265	477	883	934	270	716	698	533
SYNTH0456	90	104	142	78	88	54	120	68	72	129	64	185	69
SYNTH0457	20	7	16	38	26	2	26	16	20	21	20	10	13
SYNTH0458	50	43	63	10	85	49	43	85	45	38	78	54	57
SYNTH0459	30	135	200	80	129	105	62	54	85	110	47	121	124
SYNTH0460	254	151	269	96	138	142	326	370	272	303	225	158	224
SYNTH0461	202	246	163	189	121	86	219	126	298	89	208	179	249
SYNTH0462	290	94	278	126	136	116	145	134	193	52	80	83	163
SYNTH0463	9	9	16	13	10	20	28	25	27	22	33	13	26
SYNTH0464	105	105	131	72	58	55	80	89	50	97	64	84	73
SYNTH0465	101	89	151	106	159	148	188	95	77	149	146	43	117
SYNTH0466	54	70	123	63	59	85	75	46	85	69	122	59	142
SYNTH0467	22	15	19	4	25	16	9	12	10	9	10	15	17
SYNTH0468	43	99	51	70	29	51	96	28	92	36	44	27	66
SYNTH0469	57	106	136	85	38	73	130	62	45	59	151	105	118
SYNTH0470	14	21	5	16	22	18	41	22	31	30	25	47	11
SYNTH0471	25	28	19	45	29	23	21	33	27	31	57	31	19
SYNTH0472	231	286	121	105	150	232	298	153	150	152	366	253	266
SYNTH0473	202	166	257	183	97	235	551	539	223	402	654	261	338
SYNTH0474	222	72	151	76	131	77	46	61	125	62	133	69	200
SYNTH0475	426	374	660	537	266	654	213	326	587	299	536	495	492
SYNTH0476	6	9	17	22	11	4	7	25	11	8	22	16	9
SYNTH0477	191	68	297	229	173	151	130	268	152	297	100	307	181
SYNTH0478	241	538	509	682	567	375	715	601	728	385	526	623	294
SYNTH0479	44	49	26	28	19	26	25	30	28	30	9	25	47
SYNTH0480	58	65	42	35	45	52	24	37	53	59	73	15	27
SYNTH0481	22	17	48	37	41	22	25	20	15	72	41	18	85
SYNTH0482	77	38	47	40	41	30	45	16	30	22	61	85	54
SYNTH0483	514	1153	811	801	524	654	613	460	573	1171	937	389	833
SYNTH0484	21	23	15	27	37	19	27	21	28	47	24	35	10
SYNTH0485	419	470	368	338	602	208	165	524	327	437	853	806	506
SYNTH0486	22	109	103	140	129	147	57	50	75	28	52	64	46
SYNTH0487	25	21	1	17	0	28	11	29	11	20	10	10	11
SYNTH0488	104	122	46	125	46	100	76	103	144	85	41	102	124
SYNTH0489	75	109	29	49	34	29	47	27	47	32	47	59	20
SYNTH0490	8	21	18	16	18	14	10	18	26	15	10	23	35
SYNTH0491	21	21	34	9	33	23	9	12	20	19	10	19	21
SYNTH0492	28	22	32	18	28	29	19	22	21	13	26	20	12
SYNTH0493	129	349	182	303	299	135	199	474	377	194	156	161	176
SYNTH0494	108	43	63	75	95	67	47	64	83	105	147	72	42
SYNTH0495	189	172	235	149	174	76	90	246	119	166	242	128	183
SYNTH0496	530	793	613	402	526	635	564	446	421	859	837	395	1156
SYNTH0497	116	267	314	207	111	160	73	157	159	35	103	176	95
SYNTH0498	566	269	835	688	369	300	776	457	330	441	502	658	357
SYNTH0499	443	510	470	504	810	237	183	392	1257	666	750	792	233
